# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
PRIMARY_ENERGY,electricity,solar,PV
PRIMARY_ENERGY,electricity,solar,PV_storage
PRIMARY_ENERGY,electricity,wind,wind
PRIMARY_ENERGY,electricity,wind,wind_offshore
PRIMARY_ENERGY,electricity,wind,wind_storage
PRIMARY_ENERGY,resid heating,traditional biomass,traditional biomass
PRIMARY_ENERGY,resid others,traditional biomass,traditional biomass
TPES_RES_primary,regional biomass,regional biomass,regional biomass
TPES_RES_primary,regional coal,domestic coal,domestic coal
TPES_RES_primary,regional coal,imported coal,imported coal
TPES_RES_primary,regional natural gas,domestic natural gas,domestic natural gas
TPES_RES_primary,regional natural gas,imported natural gas,imported natural gas
TPES_RES_primary,regional oil,domestic crude oil,domestic crude oil
TPES_RES_primary,regional oil,imported crude oil,imported crude oil
TPES_RES_primary,regional biomassOil,regional biomassOil,Soybean
TPES_RES_primary,regional biomassOil,regional biomassOil,OilCrop
TPES_RES_primary,regional biomassOil,regional biomassOil,OilPalm
TPES_RES_primary,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol
TPES_RES_primary,regional sugar for ethanol,regional sugar for ethanol,regional sugar for ethanol
TPES_RES_elec,elec_CSP,CSP,CSP (dry_hybrid)
TPES_RES_elec,elec_CSP,CSP,CSP (recirculating)
TPES_RES_elec,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
TPES_RES_elec,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
TPES_RES_elec,elec_Gen_III,Gen_III,Gen_III (cooling pond)
TPES_RES_elec,elec_Gen_III,Gen_III,Gen_III (once through)
TPES_RES_elec,elec_Gen_III,Gen_III,Gen_III (recirculating)
TPES_RES_elec,elec_Gen_III,Gen_III,Gen_III (seawater)
TPES_RES_elec,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (cooling pond)
TPES_RES_elec,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (once through)
TPES_RES_elec,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (recirculating)
TPES_RES_elec,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (seawater)
TPES_RES_elec,elec_geothermal,geothermal,geothermal (dry_hybrid)
TPES_RES_elec,elec_geothermal,geothermal,geothermal (recirculating)
TPES_RES_elec,elect_td_bld,rooftop_pv,rooftop_pv
TPES_RES_elec,electricity,hydro,hydro
TPES_RES_elec,electricity,solar,PV
TPES_RES_elec,electricity,solar,PV_storage
TPES_RES_elec,electricity,wind,wind
TPES_RES_elec,electricity,wind,wind_offshore
TPES_RES_elec,electricity,wind,wind_storage
TRAD_BIO,resid heating,traditional biomass,traditional biomass
TRAD_BIO,resid others,traditional biomass,traditional biomass
FEEDSTOCKS_BUNKERS,chemical feedstocks,gas,gas
FEEDSTOCKS_BUNKERS,chemical feedstocks,refined liquids,refined liquids
FEEDSTOCKS_BUNKERS,construction feedstocks,refined liquids,refined liquids
FEEDSTOCKS_BUNKERS,other industrial feedstocks,coal,coal
FEEDSTOCKS_BUNKERS,other industrial feedstocks,refined liquids,refined liquids
FEEDSTOCKS_BUNKERS,refined liquids bunkers,refined liquids bunkers,refined liquids bunkers
BIOFUEL_ALL,refining,biomass liquids,cellulosic ethanol
BIOFUEL_ALL,refining,biomass liquids,cellulosic ethanol CCS level 1
BIOFUEL_ALL,refining,biomass liquids,cellulosic ethanol CCS level 2
BIOFUEL_ALL,refining,biomass liquids,FT biofuels
BIOFUEL_ALL,refining,biomass liquids,FT biofuels CCS level 1
BIOFUEL_ALL,refining,biomass liquids,FT biofuels CCS level 2
BIOFUEL_ALL,refining,biomass liquids,corn ethanol
BIOFUEL_ALL,refining,biomass liquids,sugar cane ethanol
BIOFUEL_ALL,refining,biomass liquids,biodiesel
BIOFUEL_ALL,refining,biomass liquids,BTL with hydrogen
BIOFUEL_NODIESEL,refining,biomass liquids,cellulosic ethanol
BIOFUEL_NODIESEL,refining,biomass liquids,cellulosic ethanol CCS level 1
BIOFUEL_NODIESEL,refining,biomass liquids,cellulosic ethanol CCS level 2
BIOFUEL_NODIESEL,refining,biomass liquids,corn ethanol
BIOFUEL_NODIESEL,refining,biomass liquids,sugar cane ethanol
BIOFUEL_NODIESEL,refining,biomass liquids,BTL with hydrogen
BIODIESEL,refining,biomass liquids,FT biofuels
BIODIESEL,refining,biomass liquids,FT biofuels CCS level 1
BIODIESEL,refining,biomass liquids,FT biofuels CCS level 2
BIODIESEL,refining,biomass liquids,biodiesel
BIOFUEL_ADV,refining,biomass liquids,cellulosic ethanol
BIOFUEL_ADV,refining,biomass liquids,cellulosic ethanol CCS level 1
BIOFUEL_ADV,refining,biomass liquids,cellulosic ethanol CCS level 2
