# File: CO2byTech.csv,,,,,,,,
# Title: CO2 by tech used for GDP intensity policies,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors;resource emissions added here with repeat subsector column in tech column,,,,,,,,
# Units: MTC,,,,,,,,
# Column types: ccccnnnnc,,,,,,,,
# ----------,,,,,,,,
region,sector,subsector,technology,1990,2005,2010,2015,Units
China,elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (once through),0.0252656,0.262225,1.97075,2.88084,MTC
China,elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (recirculating),0.0942181,1.2088,7.7841,11.0585,MTC
China,elec_gas (steam/CT),gas (steam/CT),gas (steam/CT) (seawater),0.00377706,0.48109,1.12625,1.03335,MTC
China,elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (dry cooling),0,0,0,0,MTC
China,elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (once through),0,0,0,0,MTC
China,elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (recirculating),0,0,0,0,MTC
China,elec_refined liquids (CC),refined liquids (CC),refined liquids (CC) (seawater),0,0,0,0,MTC
China,elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (cooling pond),0.709088,0.712901,0.210456,0.137009,MTC
China,elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (dry cooling),0.825601,0.827588,0.245085,0.160865,MTC
China,elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (once through),1.77007,1.77508,0.525435,0.344475,MTC
China,elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (recirculating),6.62669,6.63014,1.96739,1.29802,MTC
China,elec_refined liquids (steam/CT),refined liquids (steam/CT),refined liquids (steam/CT) (seawater),0.313397,0.28498,0.0935774,0.0770511,MTC
China,gas pipeline,gas pipeline,gas pipeline,0.184272,0.517729,1.01465,1.27782,MTC
China,gas processing,biomass gasification,biomass gasification,0,2.40946,4.91111,5.23255,MTC
China,gas processing,coal gasification,coal gasification,1.71477,5.28582,4.21906,6.56152,MTC
China,iron and steel,BLASTFUR,BLASTFUR,54.6784,213.032,366.697,434.157,MTC
China,iron and steel,BLASTFUR,BLASTFUR with hydrogen,0,0,0,0,MTC
China,iron and steel,BLASTFUR,Biomass-based,0,0,0,0,MTC
China,iron and steel,EAF with DRI,EAF with DRI,0.961568,0.965743,1.48001,2.05783,MTC
China,iron and steel,EAF with scrap,EAF with scrap,2.41211,1.38731,1.01328,0.513934,MTC
China,mining energy use,mobile,refined liquids,0.41876,0.756133,1.17686,1.8818,MTC
China,mining energy use,stationary,coal,4.186,6.68639,11.806,8.22457,MTC
China,mining energy use,stationary,gas,0.0350698,0.224688,0.177729,0.529027,MTC
China,mining energy use,stationary,refined liquids,0.10469,0.189032,0.294216,0.470449,MTC
China,other industrial energy use,biomass,biomass,0.0049059,0.0048599,0.0039629,0.007038,MTC
China,other industrial energy use,coal,coal,125.512,218.644,264.699,205.449,MTC
China,other industrial energy use,gas,gas,0.98687,3.3781,16.4879,17.0648,MTC
China,other industrial energy use,gas,gas cogen,0,0,0.0188122,0.0206525,MTC
China,other industrial energy use,refined liquids,refined liquids,13.5923,32.6831,29.6668,20.8765,MTC
China,other industrial feedstocks,coal,coal,15.1626,12.1648,18.4094,37.843,MTC
China,other industrial feedstocks,refined liquids,refined liquids,0,0,0,0,MTC
China,process heat cement,coal,coal,24.5937,96.5232,152.947,152.947,MTC
China,process heat cement,refined liquids,refined liquids,1.12704,4.42332,7.00901,7.00901,MTC
China,refining,biomass liquids,BTL with hydrogen,0,0,0,0,MTC
China,refining,biomass liquids,FT biofuels,0,0,0,0,MTC
China,refining,biomass liquids,biodiesel,0,0.00262359,0.0332725,0.0422176,MTC
China,refining,biomass liquids,cellulosic ethanol,0,0,0,0,MTC
China,refining,biomass liquids,corn ethanol,0,0.123425,0.222655,0.27823,MTC
China,refining,coal to liquids,coal to liquids,0,0,1.05615,3.19083,MTC
China,refining,gas to liquids,gas to liquids,0,0,0,0,MTC
China,refining,oil refining,oil refining,6.37523,14.4803,33.2111,42.9014,MTC
China,regional biomass,regional biomass,regional biomass,-0.0162159,-6.65783,-21.3987,-32.2097,MTC
China,regional biomassOil,regional biomassOil,Soybean,0,-0.0372126,-0.471931,-0.598808,MTC
China,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,0,-0.535727,-0.966435,-1.20766,MTC
China,resid heating,coal,coal,51.1411,32.8249,30.2766,30.0169,MTC
China,resid heating,gas,gas,0.603361,4.00515,9.12567,12.5757,MTC
China,resid heating,refined liquids,refined liquids,0.448248,2.70901,3.34387,5.31868,MTC
China,resid others,biomass,biomass,5.87E-04,0.0010718,0.0015525,0.0019711,MTC
China,resid others,coal,coal,42.2467,27.1161,25.011,24.7964,MTC
China,resid others,gas,gas,0.511757,3.39707,7.74017,10.6664,MTC
China,resid others,refined liquids,refined liquids,2.03764,12.3146,15.2005,24.1776,MTC
China,trn_aviation_intl,International Aviation,Liquids,1.66317,5.71903,7.38686,9.90215,MTC
China,trn_freight,Domestic Ship,Hybrid Liquids,0,0,0,0,MTC
China,trn_freight,Domestic Ship,Liquids,2.0574,11.4556,13.2114,17.1779,MTC
China,trn_freight,Freight Rail,Coal,7.49032,0,0,0.00342862,MTC
China,trn_freight,Freight Rail,Hybrid Liquids,0,0,0,0,MTC
China,trn_freight,Freight Rail,Liquids,1.34628,7.39803,10.5387,15.0921,MTC
China,trn_freight_road,Heavy truck,Hybrid Liquids,0,0,0,0,MTC
China,trn_freight_road,Heavy truck,Liquids,2.17259,11.6356,16.541,23.6532,MTC
China,trn_freight_road,Light truck,Hybrid Liquids,0,0,0,0,MTC
