# File: gdp_iam_compact.csv
# Title: GCAM iam compact GDP
# Units: 2017 GDP|PPP international dollars
# Source: hamonization exercise for iam compact project (2023)
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
iso,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
DMA,665111173,664638384,646294327,687843101,709329547,714490466,748306914,796416585,853732045,844343502,851229650,846531070,831471114,832940850,862887200,842362247,865046747,804945306,845106780,882548568,734640026,776783920,819274868,854819806,902414700,936151200,968957592,990388224,1011917884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,261900998840,264046447347,265273038008,266345537800,273444402372,279807550036,290750320206,293409392939,291925976176,277572773973,282793196025,286577915842,287239503590,289919693362,294572774760,301502273980,311264277116,320066698544,326414210118,331292328234,324704839518,340460582800,352774166395,352776406948,356306301928,361296853780,366718700255,372221892546,377807768128,383854904442.025,389647397714.998,395471520555.528,401326082728.346,407209862964.281,413121609191.286,419060038790.997,425252295906.052,431707007858.434,438433242510.454,445440529178.712,452738880776.231,460205229555.422,467843925011.311,475659443196.858,483656390711.262,491839508823.427,500211892369.377,508778473520.81,517544328087.099,526514680043.105,535694906210.137,544979117128.264,554367181989.498,563858935088.681,573454175284.404,583152665469.093,592897772914.842,602686362019.226,612515217886.429,622381047575.258,632280481446.82,642258397505.667,652313551464.605,662444650302.677,672650352136.039,682929266117.301,693427735157.035,704151035319.893,715104585004.179,726293949099.784,737724843276.671,748637480883.705,759831423944.234,771121383717.165,782643495205.891,794257393766.237,806708765244.605,819356906665.201,832051909689.63,844600610438.729,857034802326.019,870707287452.872,884168979207.777,897625187635.975,910828016680.87,924253147064.643,938226504052.221,952767843905.157,967414470682.749,982314069296.844,997082625025.401,1012964971297.52,1028435627943.6,1043987620846.08,1059624602074.37,1075356748645.73,1092554021969.77,1109751464864.31,1126960503407.26,1144189278928.09,1161455489982.97
DOM,78972658908,80913136528,84555038472,83411620215,85559634592,93621175928,102206803104,109791257796,113320585600,114386013980,123932493533,127808734320,131284176534,137688521795,147384131402,157597373600,168095440825,175937763727,188223126792,197739160766,184438241008,207082531460,217325915784,226556412225,237851268391,249713258604,262170758580,275228814258,288941457508,298508941832.655,307976387184.254,318517063487.925,328956453436.226,339309609214.636,349588003931.943,359686581062.543,371031556511.548,382261686661.924,393396432070.821,404368315149.754,415242234943.801,427183922930.344,439018421525.454,450776551229.128,462495282296.548,474091915191.049,486798640958.31,499375470878.209,511829318537.396,524089141074.015,536237475895.074,549641073294.915,562870890747.951,575939031215.108,588841087636.868,601560638316.563,615492907248.94,629264921511.925,642900692672.807,656298664928.008,669583672968.275,683832865383.957,697897417517.33,711720267393.798,725227261587.906,738368805217.002,752680679263.887,766798202868.523,780698722411.54,794408373958.486,807958224982.769,822236674665.472,836376893794.78,850543576571.586,864765392516.103,878695737816.004,893641100346.267,908591339302.054,923390313422.632,938055776973.762,952687234248.95,967902381578.095,983234098763.01,998286575748.804,1012787681195.45,1026731117658.41,1040439348084.32,1053918900033.81,1067249573180.55,1080362156841.05,1093295952764.73,1106286543360.97,1119130188783.03,1131824810774.23,1144276577185.55,1156745933769.81,1169678462552.57,1182485580324.11,1195185133759.96,1207986883303.6,1220639716244.65
DZA,265913236512,273890649648,289228509516,310052960385,323385245026,342464979585,348233766129,359979237882,368475231304,374489660664,388031580588,399284524050,412860182135,424420260089,440548257204,456848543844,471467668548,478068214095,483805042932,488643107040,463722307854,479491698114,493543862343,506547524010,519469497948,530702725066,541712605671,550829176464,560652625090,582489479388.683,604756664074.522,624970403154.141,645356416867.317,665784324942.31,686027139997.908,705957738781.544,726151153205.487,745829183839.738,764888881012.175,783238093828.207,800886162560.041,823245050768.458,845072005183.506,866439219155.573,887333351622.724,907835238619.333,934661184351.831,961331432355.496,987888830206.892,1014401115407.89,1040944631454.03,1073598739466.59,1106482234892.81,1139429585307.09,1172411303186.46,1205406186280.02,1245193392350.7,1285355457237.16,1325816770983.85,1366749418005.71,1408168644682.75,1455672686707.46,1503887861429.23,1552845611767.9,1602429133480.58,1652667886507.73,1706294048399.74,1760435027571.49,1815284152854.24,1870760674017.93,1926949150847.57,1982147784610.73,2038249934525.72,2095112917192.79,2153700720742.38,2212414262021.51,2274877276017.07,2337394674829.12,2399865859914.54,2461565983280.29,2522480682534.03,2588181268020.15,2652984361427.77,2716590312216.5,2778847715894.23,2839947699509.02,2904441921753.73,2967913647106.67,3029870883121.29,3091521488115.72,3152293239251.79,3216240404512.61,3279991861473.68,3343741122803.67,3408388056184.46,3474101754289.02,3541303763066.19,3610037500642.96,3680572008084.89,3753203896924.22,3827986795004.71
ECU,103683486429,107853026325,112271229500,115327743480,124794499984,131393709263,137186504175,140187192800,149100122350,149938723132,155227127436,167438434492,176890539892,185643086825,192668195852,192866136218,190502146512,195011066555,197520320312,197549114580,182168333880,189882863613,195647290032,201277283104,206909097276,212656976000,218510960640,224517183679,230700825425,239114102084.165,247393779426.552,256841893207.535,266208892480.868,275566092942.029,284873012920.964,294115122660.843,305203167398.116,316219657738.445,327156847896.836,338034531265.653,348792504688.974,361597982814.776,374354948592.751,387028388610.953,399616225737.89,412105988462.551,426727306661.052,441277583972.808,455716101258.018,470023248879.742,484175914729.982,500717982998.256,517123099117.606,533382382609.014,549486284494.407,565394836819.677,583683277208.664,601808702932.026,619778886393.832,637507090412.885,654993320292.456,674239147570.748,693252716524.707,712046697438.41,730596783749.58,748927665719.531,769086549302.351,789052369008.208,808865056628.411,828460703443.515,847835469546.925,869124307900.901,890270091153.406,911325084099.667,932240129987.956,953117895905.693,975515312010.839,997978048874.746,1020431944576.2,1042842210231.75,1065229046169.79,1088483143757.66,1111569398283.51,1134407594060.74,1157033587188.33,1179331947122.35,1202050897259.16,1224462574779.75,1246974010277.84,1269900789051.94,1293092798983.83,1317505362494.51,1342108328982.19,1366464233968.21,1390730784581.19,1414932498071.32,1440286949043.46,1465649874361.82,1491025530435.81,1516194876712.25,1541482400680.61
EGY,557962880000,577625973100,596026310400,615060136000,640228812300,668858269100,714633795000,765285808000,820051864000,858377794000,902560482900,918486807000,938934232500,969937308000,1001713403600,1046132611000,1093276457000,1119174912800,1178839345700,1244075264700,1287790358200,1330372903700,1418292922854,1471260864500,1545280372336,1630472387320,1724936041303,1826159401851,1935440852850,2046804596269.05,2160044920979.2,2296408868240.19,2429475829173.47,2562660139670.67,2695678800009.1,2827201310793.68,2982094440253.99,3136892600559.57,3291503829479.89,3445997957231.4,3600633971700.68,3775793703140.35,3951431319185.24,4127586661561.23,4304166607949.24,4481495263939.52,4677304926235.62,4874306674321.36,5072943810836.1,5273673075010.55,5475822767094.53,5708656202261.98,5943401701781.35,6178745063311.63,6415008667995.44,6651490785165.47,6925045137958.79,7200834121012.79,7477219720715.92,7753206616083.5,8029044322155.76,8333824380253.44,8640624697965.16,8948658000096.42,9257104776241.27,9568106730985.74,9888833100017.06,10211872281729.4,10535750224460.9,10862337466373.7,11190815871403.8,11533926594361.3,11880440697427.8,12228415535925.4,12575957942928.1,12925465296573.8,13297013761566,13669681128364.4,14044019064031.7,14418756527336.1,14795015564353.3,15196814256552,15600169947530.6,16001329641857.6,16402328837697.3,16800431380866.9,17216643591604.4,17630384319440.3,18036711605993.2,18434404338154.9,18828699458743.3,19229893894748.2,19647676052438.9,20068855585130.6,20493518418357.2,20926989552894.5,21365359627691.4,21807877432991.7,22254587296125.6,22703891952877.1,23154019877139.6
ERI,3989113692,4338376875,4468764795,4350097071,4413248960,4526863792,4482990514,4546952496,3663216291,4109367600,4555340720,5726509146,5834513750,5224441292,6840592220,5429968040,5831302290,5247313437,5931152493,6158664616,6125949036,6303291228,6468296798,6652612272,6842882176,7040581364,7244985510,7457713790,7675820824,7991392152.3807,8307144223.68939,8726927549.13395,9145079854.47112,9560740092.12323,9975829565.86718,10392478710.5805,10996461950.1127,11604388367.3993,12214582971.7325,12828756402.062,13446433192.728,14321262799.4939,15201843988.478,16091275888.759,16988860709.3474,17891547148.0727,19162880951.6175,20444132767.7568,21734533004.4927,23033966030.9468,24337958528.1154,26152595444.607,27977072406.6881,29812168325.6672,31658384604.5022,33511871421.189,36030911234.3385,38559381407.2722,41095949157.2137,43638548273.3799,46190395135.5129,49602094637.5626,53031231764.8788,56462495945.4719,59901755983.9237,63347688480.7396,67816943465.3141,72306314286.5191,76796495262.8733,81291357549.9924,85753097652.2981,91436196706.0231,97033180004.2941,102664533538.386,108297176206.121,113937181884.151,121147467003.992,128369369308.481,135555274262.804,142747765652.188,149849550158.362,158855974375.145,167887433867.336,176971387592.205,186091403530.784,195186678378.489,206378863737.007,217649027463.024,228986149742.848,240395300242.283,251863996902.591,265586134781.951,279423721440.536,293349124394.146,307343198061.071,321367094383.023,337642506784.758,353933564989.076,370306916183.588,386710597567.942,403126448431.834
ESP,1411650796302,1467174291836,1507228643904,1552150491584,1600664673416,1659150642641,1727139950667,1789414882284,1805317272871,1737355404960,1740188119778,1726028013520,1674901374660,1651434417783,1674519485025,1738766754270,1791593965200,1844930379405,1887054823821,1924458241145,1706528866520,1800745599785,1899333518350,1928051103159,1966012836612,2006049508468,2040370037865,2074210743044,2106995100942,2140612654118.96,2174695247666.7,2209381822329.9,2244683950806.93,2280613442127.37,2317182346746.84,2354402961756.92,2391403693311.65,2428155306558.54,2464628356627.72,2500793226166.65,2536620163777.49,2572389347760.44,2608083846721.98,2643686537142.59,2679180116043.03,2714547114034.04,2750859794664.19,2788143451847.81,2826424227202.63,2865729139684.41,2906086116386.42,2947095114138.73,2988767677049.04,3031115569124.06,3074150778721.47,3117885523096.69,3162722728865.83,3208691893336.58,3255823456547.94,3304148833437.4,3353700447216.67,3403665080729.88,3454039092191.28,3504818664318.3,3555999803202.56,3607578337250.9,3658738803172.52,3709442060460.11,3759648844282.98,3809319814455.2,3858415605235.91,3909653569384.15,3960380888295.87,4010505392611.22,4060762660849.21,4109841538672.23,4169534018571.88,4229629457938.15,4289903463935.57,4349045888402.97,4407776133817.76,4479829178805.04,4551727893784.94,4624033856620.63,4695295330839.66,4769761841058.88,4844891856085.45,4921369643388.75,5000161927094.85,5082014317405.8,5163993309344.67,5247224047879.12,5331947242353.84,5419531374930.4,5510374399890.68,5603637812376.44,5693467242420.63,5784615952678.11,5877004084316.9,5970557108075.33,6065197347701.42
EST,24877583214,26368668800,28149367036,30302708472,32368560801,35446310845,38906874618,41859787032,39699400615,33906319320,34710072221,37232108758,38455570881,39007539862,40171586525,40914034210,42224887796,44650416942,46354421598,48090781229,47839313970,51656973819,50997145140,50362827878,52004750809,53879814870,55630046160,57489460433,59316328000,60809467015.4891,62316013573.4091,63817888207.1398,65312950863.9327,66799022243.8299,68273888702.073,69735307388.6965,71154088630.3194,72526311944.8937,73848120985.7984,75115741265.59,76325497825.2797,77517492879.0047,78690277046.5161,79842405728.2414,80972442001.9909,82078959547.5849,83182933671.0778,84283854438.5901,85381206919.1696,86474471559.782,87563124570.3995,88664306937.5056,89778146817.9189,90904773471.8698,92044317269.9479,93196909700.0614,94392098657.7922,95631139902.2317,96915344673.0341,98246081970.1498,99624780949.3807,101051333204.821,102527226631.451,104054012358.307,105633307411.167,107266797506.87,108925679195.839,110610349200.416,112321210472.733,114058672293.024,115823150369.499,117264423737.185,118691930819.255,120191222219.807,121746959880.888,123291675004.762,124919354544.742,126593033950.931,128243113097.867,129890267093.313,131466572140.218,133344428906.994,135184197897.312,136947049915.541,138672468644.877,140436394726.739,142262557537.148,144234933455.586,146284117345.655,148389636052.686,150510655959.685,152701712064.66,154899565039.318,157155057025.082,159358265964.818,161708118580.983,164225007309.36,166779165473.215,169374087726.105,172008664473.179,174687683579.132
ETH,49213794600,52855794834,53701193520,52573469635,58724805321,66123603000,73728342150,82428133780,91659533658,100825674140,111513968104,124226190600,135033883200,148402204800,163687629000,180711194400,195168091200,215094129000,231662181000,252597584000,267897987700,284681902200,302780574756,321276728508,341763996195,364124453448,388460067390,414797202491,443636982976,471968776572.554,500693161841.953,537024710720.318,573965240070.289,611444983773.422,649543994631.1,688424962829.841,740795741885.885,793795932724.41,847311268308.15,901333783688.091,955672515008.958,1028716348568.23,1102454798583.31,1176822437684.16,1251816417341.37,1327311712357.29,1426601237326.26,1526653807760.22,1627632748010.46,1729142512004.14,1831333942784.76,1962438899964.27,2094457858852.17,2227292383943.4,2360936792717.87,2495468515176.11,2665338578165.42,2836837718176.4,3009672787717.64,3184347137106.97,3359522166782.88,3578082693017.64,3797451351277.53,4018082239386.83,4239882458075.91,4463333951823.63,4739019900569.1,5016107651157.51,5295605301644.83,5576368099474.14,5858118267226.53,6198750592325.15,6540383803556.66,6883687567659.46,7228595497101.49,7573269975468.65,7979968063681.01,8388432464485.48,8798517839754.01,9209743238906.74,9621645076261.34,10093595474883.3,10567109517571.6,11041129842934,11516099519038.5,11993918905054.1,12549383512913,13106975807712.8,13667102600678.5,14228970125481.2,14791516827595.4,15437613625177.2,16084440620289.7,16731770263334.3,17378766325866.3,18023686258143,18748582082558.5,19475255630233.1,20204805793102.9,20935982205231,21669596247618.6
FIN,206529450424,211926349206,215553121900,219855668848,228657156660,235018843229,244485341856,257423004498,259415278700,238476741656,246069346925,252344349750,248819365729,246601615509,245674814778,247033833984,253953366945,262061169530,265055982141,268311348428,261974991200,269980412442,275583939872,275704608300,279278292748,282859831080,286650139029,290257871904,293906436789,297453980147.24,301243860935.313,305178016833.399,309260793209.794,313496732866.177,317890584343.178,322447310659.546,327034587479.014,331651863505.04,336298569834.967,340974119953.005,345677909732.62,350338050724.027,354951014340.53,359513267757.258,364021278289.735,368471517832.64,372937285099.928,377417827555.328,381912378785.859,386420158655.642,390940373468.83,395506404919.362,400118624054.469,404777403759.692,409483118753.451,414236145581.39,419055931318.213,423943520537.687,428899975628.975,433926377122.315,439023824021.013,444216340796.179,449505876644.369,454894426988.813,460384034662.195,465976791122.346,471632710567.381,477352444315.291,483136649633.308,488985989783.22,494901134066.925,499291021872.092,503835037897.369,508467981265.155,513271084489.906,517876624864.269,522938999266.808,528043087122.431,533135728115.116,538034916394.197,542724171219.633,548267569962.657,553578652948.065,558848598238.049,563945187721.013,568890435610.922,574370077839.146,579981335543.504,585593533588.777,591348930196.931,597153130064.864,603934566276.143,610994827547.615,618397496119.145,626222006135.561,634293682939.307,643106961699.234,651912627869.351,660715793577.269,669534046491.475,678370863347.798
FJI,7943366214,8087681096,8350082983,8420458565,8868064660,8756470604,8926552960,8839279953,8927171268,8801700830,9065251836,9309505520,9451396812,9898262386,10452302178,10912208538,11182677866,11785178610,12235760050,12165409220,10097606700,9581599715,10972628940,11738428860,12322317160,12914187700,13435491450,13923574005,14402281440,14929224085.9745,15458019001.0919,16120776725.5949,16783887302.3665,17443663246.2522,18101914516.4068,18760847675.2477,19562108810.7493,20368265725.4487,21175013484.433,21986064090.6623,22802673350.9352,23744671843.8787,24691914471.2823,25649421431.4073,26612667938.4153,27582508777.9436,28703283035.2181,29833135655.2124,30974888405.6058,32123883440.8749,33275670361.5218,34637635578.3582,35998117763.8472,37361776657.612,38725994963.215,40089312063.5736,41663970969.0499,43248226181.3286,44841180538.1024,46443858963.3554,48058151140.0987,49838673778.4025,51637638204.3353,53439000812.9904,55251605604.9374,57068670805.0494,59112850716.5083,61159427267.0985,63222062070.4695,65300860285.5671,67395723433.9977,69628678410.9093,71863699315.0581,74121754180.9888,76398455332.5047,78677279141.6271,81198276902.3837,83711368599.3111,86220171708.6423,88712348592.2895,91200686288.6424,94012225460.0452,96799456138.3602,99578821203.8452,102358154838.387,105151081803.167,108120987967.943,111114516393.26,114100096432.564,117074323626.825,120032845023.678,123101633487.789,126176940912.102,129275685044.937,132386481960.91,135500984824.547,138778502989.127,142056786311.915,145328532246.619,148594643305.353,151868341207.18
FRA,2432083778180,2479181637842,2508293466206,2529476632494,2593958501020,2638965429555,2708639878400,2773137385180,2777475446965,2700064490436,2749242195810,2810047080190,2820246449728,2839560273832,2866949806028,2897189837884,2925643964408,2997291102939,3051965730632,3109484883762,2863610865889,3057465530350,3137168377150,3159152467536,3198736293280,3259579681620,3316986821961,3368696388993,3417555355120,3451537119138.41,3486893647469.27,3524552761649.47,3564579962153.46,3607045373836.74,3652023949400.42,3699595688373.06,3749936419989.3,3803140705406.89,3859309328379.88,3918549610520.29,3980975749657.5,4043936153081.43,4107424774365.37,4171435287554.98,4235961085640.59,4300995279167.48,4366400419072.57,4432163115216.93,4498269615381.99,4564705807736.38,4631457223602.94,4699156393353.69,4767816346756.25,4837450286457.07,4908071590185.96,4979693812987.42,5052942179228.32,5127857510513.56,5204481807599.57,5282858287202.18,5363031420050.99,5444069934064.76,5525976344639.74,5608753034777.69,5692402252452.24,5776926107979.42,5861964245139.24,5947502491414.8,6033526271461.41,6120020608601.05,6206970126596.52,6289350688790.87,6370818414021.91,6453090099957.31,6533260182153.09,6612960501277.38,6696849816011.03,6781597398804.4,6867733661159.93,6954273704111.69,7040498102889.35,7136206503475.98,7229701247413.29,7324229170966.29,7417336304351.35,7510787441265.2,7608969982583.61,7709574825049.97,7810639422030.18,7913485170521.12,8016680316931.85,8129133175162.39,8243827324151.24,8361038135527.54,8480651050931.9,8595819307449.59,8718183002307.66,8841486008473.28,8965752713850.05,9090975157605.27,9217126125003.92
FSM,324834452,332523258,332340316,338600782,328879734,336570458,334732860,326804504,321302072,323179186,332224337,342221208,335248520,322348903,317420584,331513832,333916232,342276064,342403880,345910032,342289500,330600165,327943560,336671580,345410730,352469292,354779880,356287730,357802046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,20342501520,20777690635,20818539504,21178354912,21408263870,21251589216,20844596604,22165565760,22538724534,22028272926,23410436840,25067947644,26391921270,27850412721,29078670320,30209251660,30847275360,30987841950,31251359317,32464754400,31870076256,32343981810,33256811067,34248234105,35302747507,36379003320,37569006176,38868838323,40232361000,41894517219.2293,43582656783.1354,45454257548.0748,47341616508.3646,49240732440.0785,51142229029.2931,53045281509.0627,55231543986.1699,57424366220.9957,59631684399.8996,61833428731.1173,64034808203.3214,66557007219.8762,69098093305.2267,71644681896.8839,74200970364.1878,76771180785.6553,79677599093.2293,82613751753.8522,85566620989.9948,88543489162.2298,91530861368.5489,94879353265.8496,98250052305.4308,101644323190.621,105052260515.55,108492913801.908,112338074833.968,116221337067.863,120128983261.303,124066207696.204,128023972239.13,132440582309.774,136893512008.293,141380118317.695,145893530335.25,150451411000.662,155429997871.724,160459772573.533,165546428795.992,170685367012.236,175894617964.677,181347863813.228,186856777007.649,192411407452.676,198016336166.427,203645399616.415,209607236204.068,215616879132.717,221656402526.767,227713085669.801,233775708103.456,240213305075.546,246656849911.216,253115957925.771,259590789530.761,266026877227.31,272619455802.226,279197151473.584,285793912077.479,292406160726.7,299020744691.439,305818400826.908,312639912067.81,319514692733.203,326444259922.86,333443749636.027,340621146413.493,347861042957.214,355129685202.301,362461985732.528,369851066570.521
GBR,2296533389900,2346079404085,2387622988004,2462189701449,2519927389100,2587167513666,2643060825873,2710814695643,2706630670464,2584548497676,2647354934760,2675618351235,2714373536925,2763771399438,2852203858361,2920460087280,2983694050480,3056602690440,3108718422044,3158591865101,2810172076901,3023688340800,3145974496524,3138079713248,3167995247706,3236870205858,3301894026528,3360136390344,3411469958305,3456777173848.12,3502689888666.3,3549534331918.59,3595714176258.18,3640304348567.26,3682938143774.56,3724474769797.97,3763139087054.36,3801329950486.31,3838988754528.1,3876828118363.5,3914098568967.58,3952030431706.67,3990711508178.65,4029472786268.21,4067976953162.35,4106887237854.12,4145286252086.61,4182613758958.95,4222625291571.5,4265335644788.89,4309961161648.34,4356868055487.4,4405235481238.88,4455480169516.72,4504712486356.93,4552137152893.38,4599709430442.84,4650183348843.63,4702999444376.63,4757770446132.38,4813593049916.13,4885737359373.48,4957469282591.73,5027316025395.35,5095184161384.94,5161848789836.62,5227741869924.58,5292335397544.11,5356746126307.01,5420787772749.04,5484675482268.92,5545819201642.72,5605820606159.7,5665723479653.1,5726012706841.42,5787984407553.16,5855459672612.3,5924323093599.42,5993410934631.42,6060407031934.69,6125080636144.8,6200734836719.9,6272897374343.81,6342217986870.31,6409132438515.42,6476097178945.54,6551076964377.48,6625505833432.84,6699633246437.8,6777324448609.81,6855668160522.51,6941565487623.48,7027913064938.64,7117715617838.22,7211273025141.6,7308433084349.42,7416453903475.02,7524353737303.77,7632203530448.52,7740345683076.87,7848068559001.91
GEO,20065191697,21030998298,22177787450,24633321750,26061368960,28558369126,31248501408,35181960192,36033814856,34714786120,36866007800,39581700678,42113729213,43635180446,45579385404,46958899594,48327329127,50657123628,53121712580,55769931336,51994057626,57440128812,63246665496,65756132961,69031455130,72614859724,76396107051,80364437500,84543188702,87450156422.8787,90439391625.3035,93891168763.0875,97357179721.1859,100789231689.174,104185266958.656,107457516003.619,111150123025.263,114983976033.805,118870219711.221,122825664479.725,126876147676.073,130665652221.836,134541374930.976,138487520786.403,142469694223.424,146471676249.036,150272758213.09,154109286401.551,157992578663.337,161927472673.143,165918399243.797,169561013264.67,173274368554.139,177058525340.888,180917105260.497,184815638820.855,188678381011.462,192584399928.122,196512068223.862,200421339023.17,204316036601.836,208744881102.837,213227346262.022,217814646591.45,222492285517.888,227204224478.756,231639031708.056,236225986646.14,241140370105.272,246433081745.224,252073438816.766,256076624041.705,260093879240.724,264124682967.725,268277719840.771,272574784160.459,276203681174.638,279869669241.406,283533773859.661,287179921937.625,290714615839.082,294438323651.118,298006628826.764,301313277784.809,304136653574.588,306493216597.403,309666811009.386,312954223477.957,316222252349.098,319240023838.113,321956759156.742,323929722654.644,325987051711.771,328291512723.309,330763712867.59,333718889447.812,336097641250.722,338164899572.441,340356449655.198,342635400394.037,345005087234.877
GHA,54788290944,56884243507,59511509055,62555816817,65933525985,70042970397,74116850544,77138100268,84086998661,88866906158,95769218637,109129111443,118323340499,126893722960,130517633532,133284357258,137784392244,148984480180,158222337840,168514978680,169384377855,178454107172,184199733378,187189118286,192700064288,202040669610,212050301190,222651804864,233788511536,247884370483.151,261989262256.623,279503304952.73,296871874392.542,313927255187.493,331168461661.773,348426287757.334,370375262909.763,392341439967.325,414318133497.016,436310277522.612,458317914377.606,486039583841.743,513834759334.849,541728847096.844,569683864810.728,597671847488.178,632364973026.438,667138868204.185,701899714756.671,736642667129.34,771365545028.788,814588339488.64,857898165011.503,901106524343.189,944259515916.236,987299118538.919,1040666940270.86,1094130468202.31,1147544204629.32,1200897423769.36,1254627496729.55,1319720758694.39,1385003740058.02,1450337652647.75,1515801459788.2,1581353168802.05,1659454015610.35,1737798141060.29,1816311395016.99,1894887047857.05,1973739396017.86,2064298151117.07,2155399263778.02,2246253228812.53,2336916246546.52,2427460635247.38,2530988484727.14,2634592068142.83,2738127843116.08,2841384277343.16,2944677460883.9,3062110449581.64,3179872452790.17,3297865257795.67,3415538392212.07,3533285740600.44,3663867840030.9,3794159246000.57,3924152361235.35,4053838492834.65,4183376695435.16,4326199764319.9,4470014265965.93,4615544702097.73,4760776892387.88,4905757327655.16,5062362532848.34,5219497351292.38,5376964117289.49,5534781141210.24,5692635535428.79
GIN,14047702756,14561257320,15314317148,15505813295,15868586860,16342985736,16751664872,17842457253,18581998010,18295286823,19067476920,20138815260,21328289070,22170002940,22989900344,23869279710,26452870650,29176728350,31031346678,32775905686,34386767967,35864643363,37402338490,39481542048,41712574374,44109791887,46529354326,49042904374,51504823838,56110455653.9117,60811634993.8612,66737484240.9201,72785873465.2746,78933281267.0502,85179127472.392,91536372236.6366,99602397793.2484,107815093914.72,116158579242.916,124638195725.076,133247063673.515,143964082024.993,154868673137.153,165933739410.403,177183943184.339,188592510911.446,202414546807.487,216449215976.142,230704489655.638,245165449413.163,259814043399.049,277250290252.682,294914938016.207,312781275149.148,330846962126.812,349131813881.188,370436337966.349,391988131068.619,413772413289.572,435706949828.629,457846746000.627,483211640081.02,508755600665.102,534408945213.884,560275520293.316,586277823920.759,615854262755.788,645571308652.146,675479819741.597,705415204418.627,735510414676.403,769026739347.364,802726629480.192,836610400810.978,870604113501.097,904764818364.455,942610494902.675,980603197970.358,1018913164133.08,1057347354174.8,1095748616320.83,1138383474257.34,1181163184263.04,1223937280119.49,1266743328156.7,1309590812971.11,1356019609743.93,1402577004554.99,1449150924885.86,1495681798346.65,1542146994414.85,1591948930758.6,1641684023855.02,1691461328355.25,1741321392942.77,1791160689443.24,1844154480543.71,1897212942025.56,1950013572478.42,2002705472886.12,2055187115755.25
GMB,2993750012,3165095360,3061923228,3273187950,3504728496,3421800448,3401266847,3506082200,3724444302,3972740160,4207676132,3865688904,4068611370,4186134412,4126525128,4294360588,4377237928,4588851528,4920395040,5227248492,5256871621,5481901600,5725521511,6047129416,6426986532,6796879650,7138993600,7496214011,7871709720,8382885748.98755,8898733153.555,9549116730.70288,10204310288.2935,10864601170.0061,11529144433.1581,12199071751.7758,13058471468.776,13928350358.7651,14807126272.9893,15695666984.512,16591466382.0581,17721541948.2948,18864536108.1745,20018751287.406,21182980023.8071,22360281648.1078,23807832139.0681,25269595370.5714,26745979585.5889,28238938397.9701,29742256728.2842,31588520399.0713,33454265754.0184,35335749830.6586,37231517524.9251,39138488412.413,41447943286.011,43778535012.9864,46120517479.6117,48478009652.61,50851173466.3081,53671082040.0116,56513944093.8272,59368721258.5299,62232864775.4759,65101582168.0047,68465062711.9018,71841325297.4062,75227942875.299,78629698599.7511,82039549963.5726,85948185981.7315,89870698532.5951,93803027724.1746,97726753220.0989,101649333730.44,106129649699.749,110611407990.993,115099541874.898,119565270820.369,124018704956.558,129067558347.303,134104688019.45,139131315684.902,144124375671.733,149095962893.655,154696415208.607,160278813069.054,165844635992.89,171395954927.688,176948272948.297,183057483093.566,189160333171.548,195263365620.94,201374479286.949,207463674332.37,214052346115.263,220635243338.716,227187672453.65,233702412848.685,240184403691.276
