# File: gdp_iam_compact.csv
# Title: GCAM iam compact GDP
# Units: 2017 GDP|PPP international dollars
# Source: hamonization exercise for iam compact project (2023)
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
iso,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AUT,374558275920,379270314106,385542281322,389166228594,399800695476,408780632925,422917236924,438668267520,445109618190,428304402867,436194498735,448972275185,451985427630,452105358383,455110855680,459750002950,468880688240,479479310735,491111169265,498551688546,466364868660,487616370720,511987870950,514231323220,519759640865,528962635149,537822559296,546874183345,555223580448,561931446027.837,568626287306.927,575609591170.458,582889920458.14,590476267074.945,598378070304.016,606605236158.755,615081352381.079,623813637847.908,632809582777.497,642076959169.121,651623831701.805,661165665430.449,670698080674.734,680216639007.697,689716846387.004,699194156395.499,708693793525.951,718213132611.865,727749503293.475,737300191045.11,746862438250.746,756508326783.826,766237898532.149,776051182355.47,785948193910.291,795928935475.958,806182966838.634,816717534396.18,827540131523.299,838658507226.546,850080675144.568,861764887655.234,873717640780.143,885945619924.664,898455705806.862,911254980589.507,924249032329.833,937440990577.685,950834037571.379,964431409162.071,978236395754.947,991562336836.791,1004836846675.6,1018466620788.83,1032450087736.79,1046822020837.55,1061383844441.26,1076366945602.44,1091193662888.84,1106236836245.28,1121166384563.7,1136629313623.24,1152181687336.59,1167988130286.3,1183683905025.43,1199695650291.02,1216288032655.06,1233350968304.09,1250549086710.04,1268045296782.07,1285452720435.32,1303608027315.42,1321644280402.96,1340066241645.11,1359352614221.59,1378815116041.5,1398955668606.4,1419468411361.97,1440366968101.43,1461679046083.38,1483418119014.68
AZE,33754786495,35941750058,39333796325,43350174617,47362290690,60603373168,81493967595,102244969064,113076768340,123664549782,129598202998,127552560462,130362488255,137988970266,141840259353,143330451950,138945107398,139152809520,141239233856,144750409426,138664076107,146429316870,153240537835,157822085666,161883611976,165989777412,170182874430,174525524220,179006399000,182658715941.845,186161115700.721,188560587769.311,190567897481.47,191917023837.72,193015981964.303,194088456887.6,196037286698.358,197843991501.158,199563167827.781,201208052442.939,202797188825.619,204971255973.167,207138267511.141,209312278387.283,211482056164.58,213677956663.112,216292902579.108,218980804692.894,221757453715.297,224571235973.355,227374318934.886,230874487090.97,234299231058.567,237604951678.937,240740886782.895,243660194045.345,248345159643.794,252845861866.014,257151493864.301,261248129755.328,265102733809.521,271353958837.994,277460521320.14,283445962891.154,289363880960.39,295236692067.395,301283015958.899,307381291932.169,313583600126.438,319902302738.427,326406728162.614,330809444736.842,335480908819.832,340438478183.246,345535731715.692,350680806639.846,356191909599.015,361774043789.076,367293774891.119,372544420166.559,377442560525.966,384636486334.738,391497136293.629,398044207357.531,404219392633.76,410128595412.471,416816089378.804,423140937301.669,429172368208.95,435062332163.26,440934995081.639,447338168263.691,454269897438.692,462469732102.919,470900943015.372,479047033262.641,487013505180.729,495237887983.741,503626073105.473,512187156636.945,520862037965.001
BDI,5094177180,5178599144,5300813231,5431489140,5636198512,5882346720,6200516907,6414471232,6726342504,6983076608,7340799288,7636774392,7976798766,8369420094,8724738248,8384300272,8333578890,8375272969,8510105058,8667064098,8696193125,8967279960,9131143782,9435809824,9997046730,10591450272,11195213777,11860895760,12509036736,13511130659.7304,14530947311.2779,15894084985.3365,17255429005.3837,18623803155.369,20001880767.9408,21400864641.1007,23382342592.0936,25390980797.7654,27423399848.9083,29480668099.5981,31563922446.7411,34413308267.9876,37312121632.856,40262881891.5935,43261022391.9917,46307345805.1738,50338994151.3272,54443919040.8232,58623040188.9696,62893302335.4985,67233903960.4051,72897606565.2009,78648078326.304,84508869610.6317,90459062455.0828,96488544924.9222,104288157808.001,112190835221,120206673051.602,128332986622.637,136573680251.122,147049524023.854,157710789373.621,168532490239.802,179485826770.167,190579469070.476,204187771510.866,217987896771.186,232011230533.199,246186621387.134,260754186656.799,277942787861.673,295408767173.755,313121635674.496,331032468333.539,349063039491.99,370141968959.789,391399975585.491,412847582552.265,434480503133.212,456282935444.581,481474508997.673,506872514168.873,532504901711.63,558317974368.179,584175390248.298,614097747129.169,644348146042.123,674873487711.112,705775604842.057,736986144850.921,772579100148.631,808740161015.289,845435271202.823,882647573654.056,920177475545.919,961591842946.851,1003514402591.06,1045887913208.54,1088750905661.46,1132003982425.75
BEL,442619335074,447472803855,455141136000,459860085504,476255615884,487341541752,499751286561,518169198600,520470685534,509941787883,524557735400,533459028867,537389477196,539853513760,548381838927,559554370796,566651069295,575847841008,586178972881,599320124480,567141529780,601964611780,620579176142,624883485905,631839454196,639295799004,647080390152,654558944368,663007938222,668703500139.351,674433176508.098,680547575017.209,687056077695.884,693968735333.702,701296293217.682,709050218817.941,717199291851.248,725754993482.371,734729464152.634,744135532060.66,753986743458.621,763925835198.343,773952849294.944,784067813439.902,794270740805.176,804561629848.84,814995454830.65,825574316757.345,836300349050.534,847175718068.529,858202623636.91,869399498574.677,880769245196.061,892314819571.222,904039232590.266,915945551049.549,928159043372.899,940687765133.276,953540033245.385,966724434868.957,980249836651.119,994045240082.239,1008116696106.37,1022470408562.67,1037112738369.19,1052050207830.02,1067103048596.57,1082270067255.15,1097550020718.91,1112941615983.98,1128443509905.71,1143114787405.19,1157709483330.86,1172307130367.53,1187063800556.99,1201841289138.58,1217847181204.76,1234153960727.94,1250671496992.7,1267118432841.55,1283296246141.28,1301124863565.32,1318711324798.01,1336257054356.76,1353523972510.85,1370933155603.96,1389139592849.36,1407800832766.88,1426680173551.96,1445960110709.61,1465322752328.23,1485859120151.99,1506579382789.74,1527699222572.95,1549227651293.94,1571160122087.61,1593782652179.9,1616589427497.86,1639603351746.84,1662845836733.93,1686331920030.42
BEN,17015252110,17922656592,18755469520,19400231682,20261301670,20606180724,21420877182,22702833376,23812586714,24367450736,24882029764,25617690714,26851048914,28783006343,30612587885,31157082060,32196753920,34023707689,36302569394,38794218987,40287005262,43170965523,45769802610,48509872890,51390880450,54518896371,57793628416,61235911352,64870561372,68483588196.999,72179188726.8955,76881026925.1388,81670194259.8287,86538156731.3573,91467272897.4607,96454754543.9165,103123326486.866,109859621332.23,116656573953.545,123513493664.36,130434680993.465,139699233573.138,149066956003.845,158543286574.453,168128579701.625,177831304134.268,190535723535.906,203398854999.165,216418934923.763,229623012927.77,242963660240.183,260140737809.635,277549189043.058,295186472387.244,313042475466.54,331133814650.175,354167206362.61,377490297745.564,401132582837.631,425067981983.835,449293196097.053,479807710762.861,510711732687.421,541973747129.443,573667575512.396,605749529620.01,645436334924.767,685679910156.606,726370854811.434,767596113684.551,809090948642.79,859295084604.328,910248008551.509,961745158788.081,1013756978732.16,1066453931549.52,1129155535207.11,1192774292685.82,1257122565598.64,1322109240027.57,1387893527546.33,1465431517917.9,1543955134844.54,1623646377113.73,1704398078898.14,1785813571838.01,1879479241730.44,1974320424615.11,2070270241737.74,2167408609453.51,2265231969070.22,2377081444416.08,2490461368929.3,2605112379826.67,2721066455404.96,2838521617215.02,2971174312328.17,3105218722712.12,3241225712367.02,3378733332526.64,3517562534232.04
BFA,15131206167,16132049500,16833592680,18147987018,18960177708,20602266116,21890380860,22790651772,24112766850,24826800050,26924028712,28707417150,30559648328,32328604508,33728480410,35050709106,37138106250,39443251248,42048061591,44440470072,45298232280,48426530985,49622708710,52050122045,55115045666,58286562390,61364160704,64574005062,67962478080,72392995473.763,76870926104.6462,82547780491.8696,88237260010.1478,93935205049.1918,99679441636.3415,105465783937.05,113115226760.36,120808320293.738,128537068426.153,136302943742.667,144107179739.44,154509260912.375,164970817073.92,175489112476.904,186060366419.983,196709534986.562,210842555012.769,225049503159.479,239322584268.595,253663818736.079,268050287931.217,286837406804.566,305674615408.632,324535990888.106,343433991847.055,362306700775.97,386575283426.967,410916170646.884,435239841213.068,459574898190.131,483899569411.504,514484007010.201,545079068756.745,575746181206.564,606450655614.673,637110537187.791,675318895507.852,713502364121.723,751648479715.301,789781056875.305,827745083475.36,874202829593.813,920581153378.712,966807213052.519,1012886967632.52,1058739564620.73,1114058579959.68,1169443924462.41,1224651957937.55,1279631383974.77,1334331349776.46,1398881677190.9,1463076673389.08,1526848701818.15,1590234135030.73,1653239652408.11,1726487629528.99,1799305229712.27,1871762387364.1,1943886519391.96,2015414444725.41,2097499044341.42,2179350542606.95,2260962515940.26,2342169339423.49,2423050731065.4,2515055030510.56,2606362150170.86,2697549284606.62,2788141450858.25,2878352028800.75
BGD,309352227162,323087219154,336962429730,353796110752,374682874326,399437497652,426882825435,454707778980,479786989840,505288806425,535756427575,570549858210,606263294208,642870408715,683459575280,730221164416,780191755959,834544751492,898056023436,948175099664,997696337407,1068509689510,1134734307080,1203356073793,1290246915533,1382474511144,1479197435025,1581264493620,1689558934768,1775004550284.48,1859629551970.2,1957743542255.13,2055719121194.46,2152720088391.92,2249872932406.85,2346928986324.6,2467736823665.15,2588430606848.03,2708647938530.44,2828650275331.24,2948159089845.67,3092852505358.26,3236562859813.78,3379010235979.86,3520175022202.63,3660124543443.9,3823550256985.51,3985612305653.9,4145394297618.75,4304104462823.47,4461470708437.57,4650310920437.45,4837640528367.06,5023296091513.5,5207037121059.49,5388464643536.45,5602038359287.62,5813896122608.44,6023370479425.42,6232888071179.62,6440847515726.24,6675494939700.37,6909222762105.14,7141189645409.81,7371589261177.05,7598913893426.03,7858086334087.7,8117247600422.85,8376304705398.01,8633577675559.43,8887040755359.58,9173273952046.99,9457436053037.07,9735358860216.91,10010574989681.3,10282564123018.3,10570920099203.9,10856428190144.8,11139051877328,11419614263554.3,11699390159373.2,11983181512302.2,12268877237717.7,12554765466313,12843032189396.5,13135264473643.3,13454849432443.4,13778568766723,14102999789907.5,14425303528000.5,14747336184193.2,15091252549865.5,15431967235352.6,15774602874030.6,16111981443395.2,16444743628715.8,16792501752739.7,17138001939023.9,17483957513360.7,17828164848110.7,18170482761521.8
BGR,86098083300,89383598044,94635752976,99585951193,106072458570,113561696430,121278324895,129349478400,137290443763,132692392808,134735448790,137559896914,138611141340,137831897586,139154523300,143933121654,148306897126,152399631450,156491076000,162800031345,156376464852,168305745139,173963797524,176414843949,182632999956,187854929220,193116492240,198595461524,204253513764,206741603985.251,209229833115.759,211772179981.881,214369883312.026,217024215928.029,219736485743.632,222508036795.264,225280018018.465,228051574557.055,230821840970.194,233589941636.056,236354991168.495,239114131496.274,241866390535.012,244610788068.463,247346336293.246,250072040376.226,252758609380.238,255404125795.679,258006685048.733,260564397751.206,263075391954.137,265692599431.448,268418675596.603,271256403274.166,274208697397.89,277278609959.999,280499789646.315,283876646005.538,287413834848.678,291116268857.464,294989128852.988,298912341007.286,302886544048.847,306912384596.555,310990517254.4,315121604707.286,319214278462.768,323265605030.841,327272648675.718,331232474862.415,335142153747.343,339147394967.527,343179255963.08,347666594089.344,352034893399.546,355949527677.71,360029198467.674,364446042170.25,368909634260.618,373365910170.126,377701893549.835,382697231509.996,387637058282.947,392572075407.408,397377969754.688,402038491566.538,407012368583.032,412119908832.996,417412618727.853,422989427930.38,428450458616.086,433903949878.391,439495728460.901,445270476734.836,451369137740.876,457657937224.483,463829721785.464,470262833426.327,476951116911.028,483898498824.677,491094822948.235
BHR,32857110374,33637396989,34802303157,36993569355,39563530232,42236847835,44939480640,48674374831,51750285075,53022793080,55360993025,56438529525,58545399432,61705234241,64421334520,65984885500,68361864048,71276520523,72781916787,74375830256,70899677824,72785203168,75853473414,78149546193,81065640780,83648317115,85894193970,88191921335,90610946504,93447718181.4951,96249891057.4303,99591659782.034,102815294886.339,105909916991.68,108900237562.663,111740377295.431,114928059864.23,117956944108.341,120851867562.328,123648986988.96,126334714132.884,129326997057.416,132257053294.268,135109234122.311,137893935901.174,140624983689.215,143604071956.085,146502768277.813,149330492092.724,152118000040.93,154814586768.327,158105012942.877,161306382034.975,164430361811.966,167513232052.516,170502224568.987,174258530405.882,177923340778.852,181370252807.669,184690206812.169,187989331251.833,191310834978.953,194624862789.813,197825575030.95,201040031132.672,204376452086.966,207374314996.526,210834436223.099,214681464768.858,218647312652.507,222650331087.97,226832321209.782,230957454209.837,235036344809.499,239113068808.193,243198343523.914,247291970668.374,251345877931.046,255278795223.786,258945555679.285,262311870903.431,266017231959.039,269686351069.689,273273209197.063,276701384534.593,280016731940.484,283867273263.681,287789532489.256,291686166851.587,295442429602.225,299169793586.516,303249570139.627,307478407897.218,311866710694.532,316351987481.63,321009843651.032,325866980630.599,330962177605.329,336247482393.29,341640868554.031,347137163679.641
BHS,12074738769,12369798421,12725304072,12547332368,12683289405,13101887500,13431989235,13627400292,13313639613,12762363185,12965968020,13013547348,13419566336,13037883052,13279626000,13411246576,13293881504,13695330660,13977444650,14234629392,10836394415,12313649903,13688820406,14256961776,14502895710,14755030422,15005225812,15207752768,15448850126,15669016411.3659,15903869217.5001,16144308648.5049,16370806343.1827,16580970451.4722,16781548110.4247,16964939718.4374,17182761836.9184,17396368649.9184,17599879384.851,17798312524.3761,17994624164.7556,18207754498.9396,18421137385.882,18630235023.3038,18846668807.73,19052145299.5939,19261831718.0092,19466404901.4848,19667712971.5432,19872028058.3706,20075793803.1101,20283065743.2137,20487284472.9125,20683321828.4088,20879506590.9789,21067269884.7903,21304655169.5466,21547161962.6925,21789360498.2268,22023674778.7164,22251960808.1004,22513728782.8219,22773210194.4695,23033466483.6863,23282439182.8685,23510185175.7649,23764872850.7924,24009888788.5385,24238197765.8867,24454121052.8563,24671670570.2036,24866661068.0517,25061670866.0312,25254587342.9649,25447363152.0157,25638647836.4765,25800862433.8432,25961912789.5257,26123901642.8983,26286323421.438,26446607062.4979,26656414111.7848,26863258361.4665,27066576637.5947,27268774102.6952,27466982913.2979,27752757936.987,28055187915.3688,28352651833.7391,28698641084.2447,29003864394.6683,29333532751.4451,29678655145.6135,30040461940.5064,30405671388.5586,30774886009.3541,31146117118.5235,31520655798.1413,31896836341.327,32275677600.8983,32655434884.8258
