# File: population_iam_compact.csv
# Title: GCAM iam compact population
# Units: people
# Source: hamonization exercise for iam compact project (2023)
# Column types: ciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii 
# ----------
iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ATG,44948,45922,46874,47844,48790,49770,50757,51743,52747,53778,54820,55863,56627,57389,58166,59162,60125,61106,62128,63188,64296,64739,64798,64592,64334,64101,63969,64012,64222,64435,64782,64997,65156,65305,65511,65212,64884,64539,64166,63798,63473,63183,64085,65233,66434,67710,69086,70510,71925,73219,74423,75687,76743,77647,78502,79380,80358,81433,82598,83904,85163,86227,87231,88117,88877,89595,90286,90843,91395,91856,92377,92951,93488,94038,94558,95074,95563,96044,96487,96914,97321,97699,98043,98357,98658,98919,99149,99340,99503,99637,99740,99813,99855,99846,99831,99781,99706,99610,99476,99317,99138,98922,98700,98465,98197,97919,97623,97314,96991,96659,96309,95955,95569,95189,94792,94387,93987,93551,93118,92674,92221,91763,91294,90822,90352,89858,89373,88854,88338,87830,87304,86778,86241,85706,85152,84616,84070,83523,82986,82443,81905,81372,80840,80303,79786,79254,78739,78241,77734,77234,76744
AUS,8048900,8305435,8534225,8731360,8906969,9099771,9319918,9539702,9748679,9957612,10173755,10399538,10612337,10811544,11023206,11240012,11478873,11706478,11911742,12142781,12393916,12796153,13191514,13409103,13617534,13809241,13964468,14111676,14275054,14436573,14604481,14808162,15051943,15284947,15481205,15677747,15893616,16130982,16387516,16664290,16928886,17167120,17375051,17549957,17713064,17897944,18108054,18315637,18504864,18698470,18903313,19132613,19363672,19588016,19809982,20040130,20303331,20630729,21030927,21464819,21856965,22181372,22532696,22925842,23297721,23641438,23999035,24392368,24788299,25170161,25544179,25795922,26046256,26308571,26569652,26829312,27086795,27341272,27593069,27840941,28083558,28321270,28553960,28780892,29003401,29222396,29436454,29646593,29853932,30057128,30257271,30454296,30648300,30840755,31030836,31218449,31403107,31584745,31763242,31937932,32109135,32276703,32440994,32603026,32763534,32921252,33075835,33228012,33379981,33528542,33675364,33819813,33963644,34104768,34244591,34382309,34519131,34653801,34786140,34918293,35049165,35176951,35301432,35423205,35543240,35660860,35776020,35887625,35995633,36100636,36202753,36302990,36399819,36493417,36584342,36674539,36765123,36852778,36940087,37026141,37112284,37199801,37288468,37378275,37470435,37563201,37656761,37753038,37848725,37943826,38041032
AUT,6937809,6935070,6925793,6928236,6935352,6943932,6948587,6954892,6975747,6997827,7030385,7064693,7107904,7151824,7199798,7247804,7293973,7350159,7403837,7426968,7455142,7479030,7521933,7566469,7605760,7592316,7565489,7565561,7571299,7553310,7545539,7553326,7584094,7564185,7559635,7563233,7566736,7572852,7576319,7594315,7644818,7710882,7798899,7882519,7928746,7943489,7953067,7964966,7971116,7982461,8002186,8020946,8063640,8100273,8142573,8201359,8254298,8282984,8307989,8335003,8351643,8375164,8408121,8451860,8507786,8584926,8700471,8772865,8822267,8858775,8904262,8924803,8947667,8972736,8999891,9029008,9056032,9081582,9105605,9128085,9149001,9168378,9186322,9202944,9218358,9232708,9246132,9258758,9270663,9281870,9292363,9302159,9311198,9319386,9326645,9332840,9337916,9341787,9344407,9345755,9345829,9344627,9342165,9338538,9333862,9328259,9321924,9315023,9307782,9300397,9293065,9285945,9279210,9272963,9267345,9262385,9258122,9254551,9251607,9249219,9247303,9245772,9244498,9243375,9242300,9241159,9239905,9238496,9236918,9235183,9233330,9231371,9229395,9227450,9225613,9223934,9222446,9221192,9220234,9219599,9219300,9219426,9219964,9220909,9222275,9224015,9226075,9228406,9230963,9233708,9236567
AZE,3126982,3190950,3259609,3334091,3414257,3502112,3597923,3701819,3814222,3935132,4063658,4199309,4340462,4484171,4629125,4770385,4905237,5032919,5150725,5264110,5372649,5477985,5580437,5680251,5777879,5876090,5973935,6068961,6162549,6254723,6339692,6426427,6518621,6616423,6721590,6832859,6949421,7068832,7196538,7325764,7371985,7483687,7592847,7693829,7786385,7857374,7921286,7976917,8023206,8058985,8143914,8236760,8327286,8416968,8507675,8604653,8707820,8818887,8937935,9061457,9177799,9296606,9421423,9549729,9679228,9804533,9922427,10030069,10113065,10191978,10273528,10296374,10329610,10386538,10438765,10487042,10532028,10574618,10615579,10654538,10692552,10729725,10765693,10800975,10834689,10866808,10896122,10922755,10946055,10965162,10979460,10989393,10994405,10994337,10989694,10980656,10967616,10951162,10931087,10907973,10881704,10852888,10821628,10788520,10753846,10718003,10680749,10642616,10603863,10563965,10522850,10480860,10437845,10393798,10347960,10300914,10252937,10203430,10152806,10100147,10046405,9991381,9935202,9877701,9819401,9760244,9700551,9640194,9579463,9518228,9457041,9396095,9335621,9275461,9215753,9156617,9098232,9040067,8982410,8925300,8868509,8811737,8755068,8698460,8641703,8584701,8527345,8469852,8411507,8353224,8294606
BDI,2229322,2278903,2327593,2375478,2422721,2470794,2519592,2568924,2618756,2667551,2719733,2773522,2858423,2916374,2979891,3086551,3149717,3237040,3311946,3392848,3456010,3539659,3624482,3533907,3608993,3711071,3787393,3874385,3980471,4098348,4176526,4449143,4532344,4672199,4780812,4903724,4992324,5091087,5224450,5319229,5428165,5539422,5650235,5835935,5274505,5898312,5967254,5893759,5953965,6116715,6243645,6371674,6559784,6738092,6983600,7257392,7520357,7796022,8093197,8463021,8955711,9297500,9613966,9976992,10322163,10667662,10786635,11020020,11291166,11695779,12053897,12386556,12715870,13063283,13413835,13769480,14126800,14488831,14857193,15230101,15608503,15992557,16382219,16777851,17181668,17591217,18008263,18426385,18851680,19280437,19711773,20144529,20578658,21011095,21443515,21875372,22306062,22736126,23163147,23584920,24002726,24414615,24822133,25229306,25632405,26031781,26425217,26818562,27205835,27589355,27968530,28346194,28719040,29091044,29462244,29833826,30202932,30569470,30935233,31298412,31654745,32006517,32353295,32692188,33028704,33359407,33685277,34001977,34312284,34616705,34912755,35203789,35487396,35762152,36029504,36287713,36537726,36778132,37012764,37239359,37457284,37668229,37871826,38070922,38263128,38450981,38631584,38808233,38979304,39147406,39309589
BEL,8597144,8637543,8673267,8717897,8762923,8811536,8857517,8905485,8958454,9016893,9128824,9178154,9189741,9251414,9328126,9428100,9499234,9556380,9605601,9631910,9660154,9650944,9695379,9726850,9756590,9788248,9813152,9823302,9837413,9841654,9855110,9863374,9854589,9858017,9853023,9857721,9858895,9864751,9875716,9927612,9947782,9986975,10021997,10068319,10100631,10130574,10143047,10170226,10192264,10213752,10239085,10263414,10309725,10355844,10396421,10445852,10511382,10584534,10666866,10753080,10839905,11000638,11075889,11137974,11180840,11237274,11311117,11351727,11398589,11455519,11507338,11546040,11580886,11611760,11638567,11661206,11682113,11702256,11721611,11740202,11757990,11775036,11791308,11806853,11821687,11835820,11849251,11861941,11873817,11884834,11894881,11903861,11911676,11918209,11923438,11927324,11929877,11931069,11930955,11929576,11926987,11923299,11918656,11913160,11907010,11900354,11893394,11886292,11879228,11872343,11865788,11859703,11854173,11849256,11845020,11841493,11838673,11836520,11835002,11834029,11833541,11833425,11833625,11834021,11834538,11835088,11835602,11836005,11836302,11836456,11836508,11836465,11836353,11836195,11836011,11835842,11835726,11835694,11835837,11836179,11836801,11837696,11838878,11840327,11842032,11843931,11845966,11848072,11850198,11852315,11854389
BEN,2256437,2272467,2288889,2306776,2326591,2348151,2372010,2398555,2427552,2459261,2493735,2530833,2571600,2615005,2661160,2710077,2761609,2815675,2871803,2930632,2991700,3055186,3121575,3191241,3263518,3339035,3418371,3502288,3590620,3683234,3781555,3886322,3996816,4111953,4231100,4355041,4484063,4618700,4758874,4904375,5054985,5211854,5374237,5541318,5871043,5975745,6117276,6290444,6483608,6684758,6892420,7103626,7320455,7543111,7775304,8013804,8285034,8520228,8775293,9037644,9307385,9584034,9868727,10159430,10458031,10771657,11093910,11426259,11767298,12114069,12466819,12819427,13174363,13531365,13894291,14265853,14642545,15023329,15408689,15798753,16194140,16593514,16997633,17406330,17821416,18239387,18660957,19087578,19519159,19954981,20397076,20844218,21294984,21750576,22209560,22672397,23139229,23607520,24076602,24549874,25025438,25502631,25981735,26459204,26939219,27417804,27897662,28378731,28856691,29331761,29809176,30286615,30765604,31242885,31718028,32194103,32667405,33139248,33611562,34082697,34547225,35008507,35467996,35925339,36382945,36834411,37279498,37724406,38165073,38601457,39035916,39465632,39886624,40305204,40716520,41119712,41521942,41916892,42307057,42692110,43065580,43435488,43800493,44160467,44510044,44853814,45192033,45522351,45844283,46159838,46466761
BES,6988,6989,7030,7109,7228,7535,7519,7516,7530,7570,7623,7734,7861,8013,8184,8377,8586,8808,9052,9302,9553,9808,10053,10259,10400,10560,10733,10912,11089,11278,11448,11638,11749,11833,11923,12018,12108,12204,12311,12419,12543,12665,12788,12896,13004,13136,13276,13420,13569,13723,13878,14043,14439,15069,15713,16388,17061,17749,18445,19156,19868,20579,21167,21723,22283,22858,23470,24069,24662,25278,25863,26443,26969,27084,27212,27332,27466,27570,27670,27767,27870,27939,28022,28095,28158,28219,28276,28336,28386,28432,28478,28524,28551,28585,28625,28646,28672,28690,28707,28718,28736,28734,28736,28730,28731,28718,28717,28709,28708,28698,28687,28682,28673,28666,28659,28649,28642,28632,28644,28637,28624,28625,28622,28621,28615,28613,28608,28612,28613,28610,28607,28611,28620,28617,28627,28646,28650,28677,28685,28712,28730,28748,28778,28804,28818,28849,28870,28898,28916,28934,28958
BFA,4190492,4237021,4286937,4338209,4389851,4444332,4501315,4560455,4621582,4682021,4748956,4817562,4888103,4960891,5036450,5115772,5200086,5285509,5375717,5468521,5562972,5660360,5755226,5855340,5960143,6076139,6200750,6338779,6494359,6661200,6838677,7027256,7220205,7423429,7638939,7864013,8094356,8321298,8548695,8778746,9011721,9251000,9479128,9717982,9962168,10220344,10486181,10756240,11038466,11363660,11703448,12062328,12437201,12827337,13233845,13658109,14094145,14538338,14975810,15420020,15880023,16353667,16851636,17375829,17896986,18442699,18993340,19557656,20114061,20671385,21231893,21813359,22388008,22959516,23543454,24137040,24736809,25343970,25957824,26577744,27206429,27840697,28480672,29125775,29776855,30431590,31087482,31745044,32403119,33063509,33720903,34380563,35041268,35696599,36349667,37000709,37649258,38294238,38940059,39584339,40223233,40859863,41490925,42116664,42739661,43354136,43962327,44564924,45159195,45747387,46327779,46899027,47470544,48034924,48593696,49145879,49687673,50221604,50745124,51259913,51766252,52260656,52743405,53216949,53681758,54131301,54567828,54992012,55403910,55805184,56196972,56577512,56939593,57294044,57633492,57962937,58280200,58583472,58870842,59149521,59412278,59666331,59905096,60136721,60358624,60569838,60768394,60960032,61138990,61307287,61465233
BGD,39336197,40120872,40976308,41877463,42781095,43782969,44848126,45967207,47153838,48331743,49678182,51114676,52650862,54272460,55915771,57633160,59367158,61163360,63045615,64945689,66788127,68295594,68456814,70236597,72053039,73842575,75558114,77202045,79073530,80941570,82874731,84984798,87324874,89785798,92305158,94763320,97154878,99388614,101591898,103785769,106001578,108293724,110191945,112352260,114485254,116744529,118842148,120911588,123166863,125534079,127975569,130411085,132929883,135349769,137656642,139922808,141902371,143355291,144916577,145926059,147487561,149294718,151127293,153054006,155006273,156916324,158743675,160825462,162762465,164605451,166426993,168414908,170297594,172075151,173833487,175568935,177274084,178938187,180565741,182146429,183684728,185163559,186593045,187969007,189290166,190560673,191772554,192922763,194021289,195063005,196054988,196997258,197892170,198743001,199562100,200340371,201078386,201780907,202442538,203059625,203638097,204171703,204656373,205106936,205502315,205855613,206166929,206422736,206622260,206770313,206865372,206909513,206902493,206842314,206723464,206550505,206323188,206055166,205734972,205363188,204947309,204489363,203983866,203435449,202848482,202221521,201561452,200861086,200118738,199340970,198525190,197679962,196800221,195890103,194951163,193978287,192973586,191936271,190880990,189802364,188700940,187585041,186444547,185286409,184112235,182936118,181748099,180557521,179361514,178163546,176964325
