# File: ind_subsector_revised.csv,,,,,,,,
# Title: Mapping from calibrated industry sectors and fuels to supplysector / subsector / technology / input in GCAM to generate non-CO2 emissions,,,,,,,,
# Units: n/a,,,,,,,,
# Column types: ccccccccc,,,,,,,,
# ----------,,,,,,,,
sector,fuel,supplysector,subsector.original,subsector.emissions,technology,minicam.energy.input,calibration,secondary.output
iron and steel,gas,iron and steel,EAF with scrap,gas,EAF_scrap_bio_NG_finish,wholesale gas,output,
iron and steel,biomass,iron and steel,EAF with scrap,biomass,EAF_scrap_bio_NG_finish,delivered biomass industry,output,
iron and steel,scrap,iron and steel,EAF with scrap,scrap,EAF_scrap_bio_NG_finish,scrap,output,
iron and steel,electricity,iron and steel,EAF with scrap,electricity,EAF_scrap_fossil_elec_finish,elect_td_ind,output,
iron and steel,gas,iron and steel,EAF with scrap,gas,EAF_scrap_fossil_elec_finish,wholesale gas,output,
iron and steel,coal,iron and steel,EAF with scrap,coal,EAF_scrap_fossil_elec_finish,delivered coal industry,output,
iron and steel,refined liquids,iron and steel,EAF with scrap,refined liquids,EAF_scrap_fossil_elec_finish,refined liquids industrial,output,
iron and steel,scrap,iron and steel,EAF with scrap,scrap,EAF_scrap_fossil_elec_finish,scrap,output,
iron and steel,electricity,iron and steel,EAF with scrap,electricity,EAF_scrap_bio_elec_finish,elect_td_ind,output,
iron and steel,biomass,iron and steel,EAF with scrap,biomass,EAF_scrap_bio_elec_finish,delivered biomass industry,output,
iron and steel,scrap,iron and steel,EAF with scrap,scrap,EAF_scrap_bio_elec_finish,scrap,output,
