# File: A_OutputsByTech.csv,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,
# Units: EJ,,,,,,,,,
# Column types: cccccnnnnc,,,,,,,,,
# ----------,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,Units
Australia_NZ,construction energy use,stationary,construction energy use,refined liquids,0.0078269,0.00533561,0.00486366,0.0047565,EJ
Australia_NZ,construction feedstocks,refined liquids,construction feedstocks,refined liquids,0.0311857,0.0380089,0.0402693,0.0289671,EJ
Australia_NZ,csp_backup,gas,csp_backup,CSP gas hybrid mode,0,0,0,0,EJ
Australia_NZ,delivered biomass,delivered biomass,delivered biomass,delivered biomass,0.0804131,0.0673528,0.0625388,0.0568039,EJ
Australia_NZ,delivered biomass industry,delivered biomass industry,delivered biomass industry,delivered biomass industry,0.116622,0.179663,0.169407,0.176691,EJ
Australia_NZ,delivered coal,delivered coal,delivered coal,delivered coal,0.0140229,0.0133111,0.00636246,0.0016326,EJ
Australia_NZ,delivered coal industry,delivered coal industry,delivered coal industry,delivered coal industry,0.285108,0.263049,0.276653,0.214826,EJ
Australia_NZ,delivered gas,delivered gas,delivered gas,delivered gas,0.119437,0.170079,0.186149,0.212685,EJ
Australia_NZ,delivered gas h2,delivered gas h2,delivered gas h2,delivered gas h2,0,0,0,0,EJ
Australia_NZ,delivered gas transport,delivered gas transport,delivered gas transport,delivered gas transport,0.00280456,0.00200926,0.00267895,0.00418591,EJ
Australia_NZ,elec_CSP,CSP,elec_CSP,CSP (dry_hybrid),0,1.80E-06,5.40E-06,7.19E-06,EJ
Australia_NZ,elec_CSP,CSP,elec_CSP,CSP (recirculating),0,1.80E-06,5.40E-06,7.19E-06,EJ
Australia_NZ,elec_CSP_storage,CSP_storage,elec_CSP_storage,CSP_storage (dry_hybrid),0,0,0,0,EJ
Australia_NZ,elec_CSP_storage,CSP_storage,elec_CSP_storage,CSP_storage (recirculating),0,0,0,0,EJ
Australia_NZ,elec_Gen_III,Gen_III,elec_Gen_III,Gen_III (seawater),0,0,0,0,EJ
Australia_NZ,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (dry cooling),0,0,0,0,EJ
Australia_NZ,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (once through),0,0,0,0,EJ
Australia_NZ,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (recirculating),0,0,0,0,EJ
Australia_NZ,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (seawater),0,0,0,0,EJ
Australia_NZ,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (dry cooling),0,0,0,0,EJ
Australia_NZ,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (once through),0,6.39E-04,2.23E-04,4.62E-04,EJ
Australia_NZ,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (recirculating),0,0,0,0,EJ
Australia_NZ,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (seawater),0,0.00124027,4.32E-04,8.97E-04,EJ
Australia_NZ,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (dry cooling),0,0,0,0,EJ
Australia_NZ,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (once through),0,0,0,0,EJ
Australia_NZ,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (recirculating),0,0,0,0,EJ
Australia_NZ,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (seawater),0,0,0,0,EJ
Australia_NZ,elec_coal (conv pul),coal (conv pul),elec_coal (conv pul),coal (conv pul) (dry cooling),0.0301827,0.0462366,0.044947,0.0395191,EJ
Australia_NZ,elec_coal (conv pul),coal (conv pul),elec_coal (conv pul),coal (conv pul) (once through),0.0549271,0.0841425,0.0817957,0.071918,EJ
Australia_NZ,elec_coal (conv pul),coal (conv pul),elec_coal (conv pul),coal (conv pul) (recirculating),0.24726,0.378776,0.368212,0.323746,EJ
Australia_NZ,elec_coal (conv pul),coal (conv pul),elec_coal (conv pul),coal (conv pul) (seawater),0.106623,0.163335,0.15878,0.139606,EJ
Australia_NZ,elec_gas (CC),gas (CC),elec_gas (CC),gas (CC) (dry cooling),0,0,0,0,EJ
Australia_NZ,elec_gas (CC),gas (CC),elec_gas (CC),gas (CC) (once through),0.00665306,0.00955345,0.00666601,0.00334577,EJ
