# File: A_Policy_Constraints_Techs.csv,,,,,,
# Title: Policy targets technologies,,,,,,
# Units: NA,,,,,,
# Column types: ccccccc,,,,,,
# ----------,,,,,,
region,supplysector,subsector,technology,2015,2030,2100
China,chemical feedstocks,refined liquids,refined liquids,ind-constraint,ind-constraint,
China,construction energy use,mobile,hydrogen,ind-constraint,ind-constraint,
China,construction energy use,mobile,electricity,ind-constraint,ind-constraint,
China,construction energy use,mobile,refined liquids,ind-constraint,ind-constraint,
China,construction energy use,stationary,coal,ind-constraint,ind-constraint,
China,construction energy use,stationary,electricity,ind-constraint,ind-constraint,
China,construction energy use,stationary,refined liquids,ind-constraint,ind-constraint,
China,construction energy use,stationary,gas,ind-constraint,ind-constraint,
China,construction feedstocks,refined liquids,refined liquids,ind-constraint,ind-constraint,
China,mining energy use,mobile,hydrogen,ind-constraint,ind-constraint,
China,mining energy use,mobile,electricity,ind-constraint,ind-constraint,
China,mining energy use,mobile,refined liquids,ind-constraint,ind-constraint,
China,mining energy use,stationary,coal,ind-constraint,ind-constraint,
China,mining energy use,stationary,electricity,ind-constraint,ind-constraint,
China,mining energy use,stationary,refined liquids,ind-constraint,ind-constraint,
China,mining energy use,stationary,gas,ind-constraint,ind-constraint,
China,other industrial energy use,biomass,biomass,ind-constraint,ind-constraint,
China,other industrial energy use,coal,coal,ind-constraint,ind-constraint,
China,other industrial energy use,electricity,electricity,ind-constraint,ind-constraint,
China,other industrial energy use,gas,gas,ind-constraint,ind-constraint,
China,other industrial energy use,gas,gas cogen,ind-constraint,ind-constraint,
China,other industrial energy use,hydrogen,hydrogen,ind-constraint,ind-constraint,
China,other industrial energy use,hydrogen,hydrogen cogen,ind-constraint,ind-constraint,
China,other industrial energy use,refined liquids,refined liquids,ind-constraint,ind-constraint,
China,other industrial feedstocks,coal,coal,ind-constraint,ind-constraint,
China,other industrial feedstocks,refined liquids,refined liquids,ind-constraint,ind-constraint,
China,process heat cement,coal,coal,ind-constraint,ind-constraint,
China,process heat cement,hydrogen,hydrogen,ind-constraint,ind-constraint,
China,process heat cement,refined liquids,refined liquids,ind-constraint,ind-constraint,
Japan,agricultural energy use,mobile,hydrogen,ind-constraint,ind-constraint,ind-constraint
Japan,agricultural energy use,mobile,electricity,ind-constraint,ind-constraint,ind-constraint
Japan,agricultural energy use,mobile,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,agricultural energy use,stationary,electricity,ind-constraint,ind-constraint,ind-constraint
Japan,agricultural energy use,stationary,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,chemical energy use,biomass,biomass,ind-constraint,ind-constraint,ind-constraint
Japan,chemical energy use,coal,coal,ind-constraint,ind-constraint,ind-constraint
Japan,chemical energy use,electricity,electricity,ind-constraint,ind-constraint,ind-constraint
Japan,chemical energy use,gas,gas,ind-constraint,ind-constraint,ind-constraint
Japan,chemical energy use,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,chemical feedstocks,coal,coal,ind-constraint,ind-constraint,ind-constraint
Japan,chemical feedstocks,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,construction energy use,mobile,hydrogen,ind-constraint,ind-constraint,ind-constraint
Japan,construction energy use,mobile,electricity,ind-constraint,ind-constraint,ind-constraint
Japan,construction energy use,mobile,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,construction energy use,stationary,electricity,ind-constraint,ind-constraint,ind-constraint
Japan,construction energy use,stationary,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,construction energy use,stationary,gas,ind-constraint,ind-constraint,ind-constraint
Japan,construction feedstocks,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,mining energy use,mobile,hydrogen,ind-constraint,ind-constraint,ind-constraint
Japan,mining energy use,mobile,electricity,ind-constraint,ind-constraint,ind-constraint
Japan,mining energy use,mobile,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,mining energy use,stationary,coal,ind-constraint,ind-constraint,ind-constraint
Japan,mining energy use,stationary,electricity,ind-constraint,ind-constraint,ind-constraint
Japan,mining energy use,stationary,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,mining energy use,stationary,gas,ind-constraint,ind-constraint,ind-constraint
Japan,other industrial energy use,biomass,biomass,ind-constraint,ind-constraint,ind-constraint
Japan,other industrial energy use,coal,coal,ind-constraint,ind-constraint,ind-constraint
Japan,other industrial energy use,electricity,electricity,ind-constraint,ind-constraint,ind-constraint
Japan,other industrial energy use,gas,gas,ind-constraint,ind-constraint,ind-constraint
Japan,other industrial energy use,hydrogen,hydrogen,ind-constraint,ind-constraint,ind-constraint
Japan,other industrial energy use,hydrogen,hydrogen cogen,ind-constraint,ind-constraint,ind-constraint
Japan,other industrial energy use,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,other industrial feedstocks,coal,coal,ind-constraint,ind-constraint,ind-constraint
Japan,other industrial feedstocks,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Japan,process heat cement,coal,coal,ind-constraint,ind-constraint,ind-constraint
Japan,process heat cement,hydrogen,hydrogen,ind-constraint,ind-constraint,ind-constraint
Japan,process heat cement,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,agricultural energy use,mobile,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,agricultural energy use,stationary,biomass,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,agricultural energy use,stationary,coal,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,agricultural energy use,stationary,electricity,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,agricultural energy use,stationary,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,agricultural energy use,stationary,gas,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,chemical energy use,coal,coal,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,chemical energy use,electricity,electricity,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,chemical energy use,gas,gas,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,chemical energy use,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,chemical feedstocks,gas,gas,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,chemical feedstocks,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,construction energy use,mobile,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,construction energy use,stationary,coal,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,construction energy use,stationary,electricity,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,construction energy use,stationary,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,construction energy use,stationary,gas,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,construction feedstocks,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,mining energy use,mobile,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,mining energy use,stationary,coal,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,mining energy use,stationary,electricity,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,mining energy use,stationary,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,mining energy use,stationary,gas,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,biomass,biomass,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,biomass,biomass cogen,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,coal,coal,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,coal,coal cogen,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,electricity,electricity,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,gas,gas,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,gas,gas cogen,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,hydrogen,hydrogen,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,hydrogen,hydrogen cogen,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial energy use,refined liquids,refined liquids cogen,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial feedstocks,coal,coal,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,other industrial feedstocks,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,process heat cement,biomass,biomass,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,process heat cement,coal,coal,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,process heat cement,gas,gas,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,process heat cement,hydrogen,hydrogen,ind-constraint,ind-constraint,ind-constraint
Europe_Non_EU,process heat cement,refined liquids,refined liquids,ind-constraint,ind-constraint,ind-constraint
