# File: A_CCap_Constraint.csv,,,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon caps for specific industries,,,,,,,,,,,,,,,,,,,,,,,,
# Units: MTC,,,,,,,,,,,,,,,,,,,,,,,,
# Comments: For linked regions (share same market/policy/constraint) only include the constraint for one region,,,,,,,,,,,,,,,,,,,,,,,,
#  If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccccciinnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,,
xml,market,ghgpolicy,link.type,mapping.name,year.fillout,GDPIntensity_BaseYear,adjust.year,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
caps_LTT.xml,Central Asia,GHG,ALL_GHG_NOAGPR,,,,2035,,,,782.8215331,718.7088577,640.3876788,552.2769411,461.0849083,373.1280262,358.1676445,342.2012684,322.5481311,302.4465532,283.2058935,262.796163,242.3770759,222.1209326
caps_LTT.xml,China,GHG,FFI_LUC,,,,2035,,,,9949.564495,7959.651596,5969.738697,3979.825798,1989.912899,0,0,0,0,0,0,0,0,0
caps_LTT.xml,Colombia,GHG,ALL_GHG_NOAGPR_COL,,,,2035,,,,127.125,84.75,42.375,0,0,0,0,0,0,0,0,0,0,0
caps_LTT.xml,EU,GHG,GHG_NO_LUC_AGPRzero,,,,2035,,,,1800.260498,1325.050588,817.5252938,310,310,310,310,310,310,310,310,310,310,310
caps_LTT.xml,Europe_Eastern,GHG,ALL_GHG_NOAGPR,,,,2035,,,,467.9736213,443.1893774,410.9968684,373.3293536,335.6132725,299.8128904,266.1501419,234.5801883,203.0495284,171.6234793,140.4849047,111.2627998,86.43243427,64.08897065
caps_LTT.xml,Europe_Non_EU,GHG,ALL_GHG_NOAGPR,,,,2035,,,,659.5195571,483.6935487,324.9100231,220.2491591,161.8154997,151.9404984,142.372479,132.8394081,122.849695,113.1643339,103.8086668,94.47183011,85.48319175,77.93478182
caps_LTT.xml,European Free Trade Association,GHG,GHG_NO_LUC_AGPR,,,,2035,,,,225.2706672,161.3249388,100.5,30,30,30,30,30,30,30,30,30,30,30
caps_LTT.xml,India,GHG,ALL_GHG_NOAGPR_IND,,,,2035,,,,4503.122326,3859.819137,3216.515947,2573.212758,1929.909568,1286.606379,643.3031895,0,0,0,0,0,0,0
caps_LTT.xml,Indonesia,GHG,ALL_GHG_NOAGPR,,,,2035,,,,1371.141366,1094.094244,817.047122,540,270,0,0,0,0,0,0,0,0,0
caps_LTT.xml,Japan,GHG,GHG_NO_LUC_AGPR,,,,2035,,,,621.675,430.35,239.025,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7
caps_LTT.xml,Mexico,GHG,ALL_GHG_NOAGPR_MEX,,,,2035,,,,558,472,386,300,214,128,42,0,0,0,0,0,0,0
caps_LTT.xml,Middle East,GHG,ALL_GHG_NOAGPR,,,,2035,,,,2251.040631,1893.779851,1543.015052,1205.217565,945.8454907,706.7634613,616.1954814,535.2415547,465.1629165,404.9826607,352.4866383,304.9262007,264.107881,229.3233867
caps_LTT.xml,Pakistan,GHG,ALL_GHG_NOAGPR,,,,2035,,,,703.7968418,828.987895,976.9633839,1144.060381,1326.21847,1517.558489,1718.632339,1927.339386,2131.714624,2309.912686,2473.417649,2618.571373,2753.818382,2866.828664
caps_LTT.xml,Russia,GHG,FFI_LUC,,,,2035,,,,1424.261771,1139.409417,854.5570624,569.7047083,284.8523541,0,0,0,0,0,0,0,0,0
caps_LTT.xml,South Africa,GHG,ALL_GHG_NOAGPR,,,,2035,,,,375,250,125,0,0,0,0,0,0,0,0,0,0,0
caps_LTT.xml,South America_Northern,GHG,ALL_GHG_NOAGPR,,,,2035,,,,518.6634212,520.5319568,525.2009193,531.3401948,535.7026813,535.0088875,527.535645,517.4582385,507.9767548,492.6148192,468.8022502,443.2049902,417.4409948,392.8906704
caps_LTT.xml,South America_Southern,GHG,ALL_GHG_NOAGPR,,,,2035,,,,377.1269012,277.6660428,181.0526067,87.29439932,72.22487319,59.37963451,49.09951557,40.32370604,32.9009102,26.74404447,21.55645678,17.22431656,13.71773578,10.88495885
caps_LTT.xml,South Asia,GHG,ALL_GHG_NOAGPR,,,,2035,,,,616.5529851,660.6795756,700.6336871,731.7739649,758.6161354,780.0461145,793.6449844,800.2057061,798.7166179,786.4641484,766.0717611,745.1792081,720.2475155,690.3499916
caps_LTT.xml,South Korea,GHG,ALL_GHG_NOAGPR,,,,2035,,,,327.75,218.5,109.25,0,0,0,0,0,0,0,0,0,0,0
caps_LTT.xml,Southeast Asia,GHG,ALL_GHG_NOAGPR,,,,2035,,,,2281.704143,1972.18143,1655.688802,1330.994936,1171.789523,1012.671163,856.5998845,787.296264,717.8807209,653.0952526,590.9139381,531.9396133,477.2762265,426.5719452
caps_LTT.xml,Taiwan,GHG,ALL_GHG_NOAGPR,,,,2035,,,,398.5943307,359.646256,318.98725,277.8757943,238.8148788,205.0407241,181.8101621,160.8300053,141.4374338,123.5660687,106.986901,91.98965356,78.61271516,66.85234449
caps_LTT.xml,USA,GHG,GHG_NO_LUC_AGPR,,,,2035,,,,2876.589315,2163.923505,1553.475,813,813,813,813,813,813,813,813,813,813,813
caps_NDC_LTT_OECD_co2.xml,RestOfWorld,CO2_FFI,CO2_FFI,,,,2025,,25562,26040,21032,16969,13167,8795,,,,,,,,,,
caps_NDC_LTT_OECD_co2.xml,OECD,CO2_FFI,CO2_FFI,,,,2025,,9262,5549,3391,1620,-484,-968,,,,,,,,,,
steel_co2.xml,World,CO2_NO_STEEL,,CO2_NO_STEEL,,,,,,,,,,,,,,,,,,,,
steel_co2.xml,World,CO2_STEEL,,IRONSTEEL,,,,,,,,,,,,,,,,,,,,
caps_NDC_LTT_OECD_NoSteel_co2.xml,RestOfWorld,CO2_FFI,CO2_FFI_NOSTEEL,,,,2025,,25562,26040,21032,16969,13167,8795,,,,,,,,,,
caps_NDC_LTT_OECD_NoSteel_co2.xml,OECD,CO2_FFI,CO2_FFI_NOSTEEL,,,,2025,,9262,5549,3391,1620,-484,-968,,,,,,,,,,
caps_NDC_LTT_OECD_NoSteel_co2.xml,World,CO2_NO_STEEL,,CO2_NO_STEEL,,,,,,,,,,,,,,,,,,,,
caps_NDC_LTT_OECD_NoSteel_co2.xml,World,CO2_STEEL,,IRONSTEEL,,,,,,,,,,,,,,,,,,,,
caps_co2_scrapLimit.xml,RestOfWorld,CO2_FFI,CO2_FFI,,,,2025,,25600.99484,26059.71721,21026.05021,17001.36918,13168.56184,8792.736278,,,,,,,,,,
caps_co2_scrapLimit.xml,OECD,CO2_FFI,CO2_FFI,,,,2025,,9259.480126,5543.662442,3370.238143,1645.466083,-494.7103479,-1000,,,,,,,,,,
caps_co2_NoSteel_scrapLimit.xml,RestOfWorld,CO2_FFI,CO2_FFI_NOSTEEL,,,,2025,,25600.99484,26059.71721,21026.05021,17001.36918,13168.56184,8792.736278,,,,,,,,,,
caps_co2_NoSteel_scrapLimit.xml,OECD,CO2_FFI,CO2_FFI_NOSTEEL,,,,2025,,9259.480126,5543.662442,3370.238143,1645.466083,-494.7103479,-1000,,,,,,,,,,
caps_co2_NoSteel_scrapLimit.xml,World,CO2_NO_STEEL,,CO2_NO_STEEL,,,,,,,,,,,,,,,,,,,,
caps_co2_NoSteel_scrapLimit.xml,World,CO2_STEEL,,IRONSTEEL,,,,,,,,,,,,,,,,,,,,
