# File: A_CTax.csv,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon taxes by region,,,,,,,,,,,,,,,,,,,,,,
# Units: 1990$/tC,,,,,,,,,,,,,,,,,,,,,,
# Comments: link.type needs to correspoond to a link.type in A_Ctax_Link; give different ghgpolicy names for different regions if not linked; market.overwrite writes the region name to the market name,,,,,,,,,,,,,,,,,,,,,,
# Leave tax empty for all but 1 linked regions (same ghgpolicy),,,,,,,,,,,,,,,,,,,,,,
# Column types: cccciinnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,
xml,link.type,market,ghgpolicy,year.fillout,market.overwrite,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
price_nonco2_mac_CP_post2030.xml,,Africa_Northern,nonCO2,,,,,,1.198866628,1.40592689,1.628418478,1.874701283,2.163776212,2.504213842,2.884431321,3.285481186,3.705806975,4.155426094,4.632813648,5.113130265,5.621634538,6.179557948
price_nonco2_mac_CP_post2030.xml,,Africa_Southern,nonCO2,,,,,,1.122303169,1.290431719,1.518813601,1.819575889,2.200334597,2.671582112,3.244390578,3.934055197,4.749305389,5.700432133,6.792013746,8.033551874,9.428630105,10.98987021
price_nonco2_mac_CP_post2030.xml,,Africa_Western,nonCO2,,,,,,1.22544019,1.505720671,1.854851055,2.28760817,2.819676507,3.464519305,4.229322275,5.139435144,6.201885908,7.420772839,8.799944824,10.34646408,12.06958323,13.97484745
price_nonco2_mac_CP_post2030.xml,,Argentina,nonCO2,,,,,,5.002516781,5.270529603,5.529917225,5.814153465,6.127664925,6.467027319,7.024846918,7.588254742,8.162648743,8.753544248,9.401578617,10.06681362,10.81763861,11.68726251
price_nonco2_mac_CP_post2030.xml,,Australia_NZ,nonCO2,,,,,,204.3068165,216.2504785,229.5094434,242.5068689,257.0719865,273.4366209,291.7030432,308.9972084,327.1568897,348.5534846,372.3201831,398.0749475,427.9894214,460.9877052
price_nonco2_mac_CP_post2030.xml,,Brazil,nonCO2,,,,,,38.81800931,41.82934857,45.04470778,48.23262172,51.49701766,54.93182237,59.64457813,64.78693558,70.79885971,77.68496694,84.53139005,91.96712266,100.0558638,109.1863321
price_nonco2_mac_CP_post2030.xml,,Canada,nonCO2,,,,,,252.7190176,261.5892622,271.7856213,283.0247463,295.2603562,307.7409516,327.3243391,346.9746321,365.284428,387.2578431,413.7353334,443.6005981,478.5285118,517.068266
price_nonco2_mac_CP_post2030.xml,,Central America and Caribbean,nonCO2,,,,,,1.138067224,1.292695885,1.471008867,1.673686946,1.903168796,2.162151146,2.457679223,2.787704005,3.156011865,3.569076209,4.032858874,4.534834984,5.078867519,5.686477994
price_nonco2_mac_CP_post2030.xml,,Central Asia,nonCO2,,,,,,1.167282112,1.33435962,1.479929341,1.611105125,1.748159282,1.918018658,2.127256059,2.355659054,2.580309638,2.819001856,3.083076025,3.350238058,3.629686581,3.921361446
price_nonco2_mac_CP_post2030.xml,,China,nonCO2,,,,,,46.6376648,51.80988516,56.22505042,60.37498283,65.67644208,71.65970916,77.80725594,83.97953971,90.75686355,97.19268091,103.1724871,106.9549892,111.1093783,120.0181162
price_nonco2_mac_CP_post2030.xml,,Colombia,nonCO2,,,,,,1.077481647,1.146092858,1.21067318,1.274471541,1.336689318,1.396328253,1.545584749,1.705324368,1.878531579,2.081556453,2.319901297,2.574104723,2.840143579,3.122322028
price_nonco2_mac_CP_post2030.xml,,EU,nonCO2,,,,,,274.6634378,295.4279512,318.8578443,344.5220704,372.7645835,404.314041,438.8316999,474.9668276,510.4071249,548.271524,590.2044829,635.1230325,684.2092778,737.8436606
price_nonco2_mac_CP_post2030.xml,,Europe_Eastern,nonCO2,,,,,,1.184071001,1.364614105,1.548914982,1.736071574,1.944894129,2.186710793,2.46560778,2.786029991,3.124180431,3.464128047,3.779575914,4.080945415,4.474321778,4.951502926
price_nonco2_mac_CP_post2030.xml,,Europe_Non_EU,nonCO2,,,,,,13.98421031,15.51093527,17.01700117,18.59495253,20.22293017,22.04584201,24.1221123,26.39309904,28.70422458,31.15713967,33.74367951,36.32939869,38.9635382,42.17170786
price_nonco2_mac_CP_post2030.xml,,European Free Trade Association,nonCO2,,,,,,271.2089135,283.7836546,297.0339407,311.7741156,329.8446728,350.1513793,376.5618645,402.417813,427.840654,456.3072201,487.3277663,521.0418633,559.7259316,604.1380195
price_nonco2_mac_CP_post2030.xml,,India,nonCO2,,,,,,1.217457815,1.421267151,1.619492071,1.820129199,2.037597794,2.278471703,2.588327355,2.918894728,3.269849689,3.639359357,4.041207691,4.472196511,4.941956868,5.446254253
price_nonco2_mac_CP_post2030.xml,,Indonesia,nonCO2,,,,,,20.12095522,22.96332962,25.90544422,29.01057484,32.31530511,35.86712349,41.11227571,46.6080635,52.31175691,58.74552151,65.45204752,72.45641559,80.08761643,88.20176802
price_nonco2_mac_CP_post2030.xml,,Japan,nonCO2,,,,,,186.6603377,197.0200728,207.7312304,218.1273615,230.2637142,246.2214604,264.6964943,284.4806499,304.2128142,324.3109174,346.9596887,372.6752874,402.3267132,435.3336172
price_nonco2_mac_CP_post2030.xml,,Mexico,nonCO2,,,,,,1.083177096,1.164478597,1.251294823,1.346145796,1.445109377,1.547952178,1.707153616,1.88140704,2.064576497,2.265185904,2.475031968,2.698536222,2.95612335,3.25660766
price_nonco2_mac_CP_post2030.xml,,Middle East,nonCO2,,,,,,1.073801479,1.141208715,1.2058937,1.273123095,1.352650036,1.454125111,1.576491626,1.711404933,1.866010459,2.044676915,2.245085563,2.455009991,2.693865865,2.971049511
price_nonco2_mac_CP_post2030.xml,,Pakistan,nonCO2,,,,,,1.19332442,1.437306777,1.746700154,2.125921534,2.579694464,3.109852505,3.733940032,4.468780943,5.30940124,6.216953936,7.230209641,8.34784592,9.609720608,10.98928616
price_nonco2_mac_CP_post2030.xml,,Russia,nonCO2,,,,,,41.58013808,43.64284216,45.3761631,46.7801862,48.85791141,52.28882022,56.44819187,60.65373838,65.00664957,69.29462649,73.96143295,78.40653009,83.32361422,89.29235172
price_nonco2_mac_CP_post2030.xml,,South Africa,nonCO2,,,,,,36.79750035,40.88059659,44.88318596,49.41506734,54.69106237,60.53298491,65.93452173,71.79734582,78.41356897,85.5955362,92.5131624,99.66450571,107.358354,115.5650884
price_nonco2_mac_CP_post2030.xml,,South America_Northern,nonCO2,,,,,,1.116704556,1.24082934,1.397294379,1.586256168,1.802529865,2.035131413,2.27523501,2.538667045,2.845085645,3.161644449,3.461534774,3.781488967,4.134254159,4.532759954
price_nonco2_mac_CP_post2030.xml,,South America_Southern,nonCO2,,,,,,1.109028855,1.22727028,1.355411932,1.496369425,1.653892815,1.825824975,2.037123531,2.268196815,2.520079949,2.800570286,3.096488197,3.402379032,3.733804846,4.089190806
price_nonco2_mac_CP_post2030.xml,,South Asia,nonCO2,,,,,,1.19690121,1.435176773,1.713312743,2.024749011,2.388023657,2.809717352,3.29110455,3.842713296,4.466082076,5.146002005,5.893077867,6.769509797,7.754653712,8.831305649
price_nonco2_mac_CP_post2030.xml,,South Korea,nonCO2,,,,,,58.68474497,60.93131734,62.96250117,64.84195329,67.75077315,70.45433904,75.46584752,80.36203036,84.46936653,88.85025,94.9842238,99.9928264,107.1352704,116.7556245
price_nonco2_mac_CP_post2030.xml,,Southeast Asia,nonCO2,,,,,,1.147208746,1.309332752,1.490814096,1.687881606,1.907882143,2.15526565,2.438273023,2.750661995,3.087550684,3.466692773,3.879394316,4.326976337,4.817720463,5.350687196
price_nonco2_mac_CP_post2030.xml,,Taiwan,nonCO2,,,,,,1.081447025,1.166821863,1.248577102,1.321102105,1.385579302,1.457028725,1.587267231,1.729630228,1.878399948,2.028714208,2.167200643,2.289383581,2.39200455,2.47394219
price_nonco2_mac_CP_post2030.xml,,USA,nonCO2,,,,,,199.4666741,208.0145213,217.6494188,228.4050507,240.4397037,252.5346653,261.7502955,269.3602165,276.0554967,284.1972742,293.7848158,304.2492473,316.7128712,330.9815653
