# File: A_InputTaxesSubsidies.csv,,,,,,,,,,,,,
# Title: Taxes/Subsidies for Specific Technologies,,,,,,,,,,,,,
# Units: 1975$/GJ or 1975$/kg,,,,,,,,,,,,,
# Comments: Positive for tax, negative for subsidy,,,,,,,,,,,,
# Column types: ccccccnnnnnnnn,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,minicam.non.energy.input,2020,2025,2030,2035,2040,2045,2050,2100
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,Africa_Northern traded low-carbon iron and steel_OECD,Africa_Northern traded low-carbon iron and steel_OECD,CBAM,,0.003254227,0.004084047,0.004113626,0.004049752,0.003530198,0.003356234,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,Africa_Northern traded med-carbon iron and steel_OECD,Africa_Northern traded med-carbon iron and steel_OECD,CBAM,,0.013249389,0.01583292,0.015758211,0.015689113,0.013914493,0.013466838,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,Africa_Southern traded high-carbon iron and steel_OECD,Africa_Southern traded high-carbon iron and steel_OECD,CBAM,,0.041483659,0.038515358,0.036187479,0.035170918,0.030728377,0.029440918,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,Africa_Southern traded low-carbon iron and steel_OECD,Africa_Southern traded low-carbon iron and steel_OECD,CBAM,,0.002467172,0.00308255,0.003189244,0.003198658,0.002890302,0.002865388,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,Africa_Southern traded med-carbon iron and steel_OECD,Africa_Southern traded med-carbon iron and steel_OECD,CBAM,,0.012784184,0.01451218,0.01426775,0.014172093,0.012581673,0.012198068,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,Africa_Western traded high-carbon iron and steel_OECD,Africa_Western traded high-carbon iron and steel_OECD,CBAM,,0.039816871,0.044362343,0.042417827,0.040851284,0.034864392,0.032451843,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,Africa_Western traded low-carbon iron and steel_OECD,Africa_Western traded low-carbon iron and steel_OECD,CBAM,,0.00312472,0.003285549,0.0031448,0.003124441,0.002819236,0.002805303,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,Africa_Western traded med-carbon iron and steel_OECD,Africa_Western traded med-carbon iron and steel_OECD,CBAM,,0.012909944,0.015028854,0.014663418,0.014445352,0.012712603,0.012241302,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,Central America and Caribbean traded high-carbon iron and steel_OECD,Central America and Caribbean traded high-carbon iron and steel_OECD,CBAM,,0.039705628,0.045105607,0.043780263,0.042661693,0.03697725,0.034861437,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,Central America and Caribbean traded low-carbon iron and steel_OECD,Central America and Caribbean traded low-carbon iron and steel_OECD,CBAM,,0.003568488,0.004197532,0.004113891,0.003998316,0.00346466,0.00328531,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,Central America and Caribbean traded med-carbon iron and steel_OECD,Central America and Caribbean traded med-carbon iron and steel_OECD,CBAM,,0.013030784,0.015426894,0.01521997,0.015038988,0.013238048,0.012717876,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,Central Asia traded high-carbon iron and steel_OECD,Central Asia traded high-carbon iron and steel_OECD,CBAM,,0.039634884,0.046934491,0.046205417,0.045347334,0.039457279,0.037017581,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,Central Asia traded low-carbon iron and steel_OECD,Central Asia traded low-carbon iron and steel_OECD,CBAM,,0.003460657,0.00391339,0.003729003,0.003609412,0.003175749,0.003086699,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,Central Asia traded med-carbon iron and steel_OECD,Central Asia traded med-carbon iron and steel_OECD,CBAM,,0.012969184,0.014472871,0.014078884,0.013850652,0.012221129,0.011816179,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,Europe_Eastern traded high-carbon iron and steel_OECD,Europe_Eastern traded high-carbon iron and steel_OECD,CBAM,,0.039631065,0.046901935,0.046412363,0.0457889,0.040074955,0.037851329,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,Europe_Eastern traded low-carbon iron and steel_OECD,Europe_Eastern traded low-carbon iron and steel_OECD,CBAM,,0.003596576,0.004239047,0.004208041,0.004150344,0.003649755,0.003511927,
CBAM_no_allowances,USA,traded med-carbon iron and steel_OECD,Europe_Eastern traded med-carbon iron and steel_OECD,Europe_Eastern traded med-carbon iron and steel_OECD,CBAM,,0.013018182,0.014821591,0.014609468,0.014384198,0.01263723,0.012163186,
CBAM_no_allowances,USA,traded high-carbon iron and steel_OECD,Middle East traded high-carbon iron and steel_OECD,Middle East traded high-carbon iron and steel_OECD,CBAM,,0.040083751,0.046721281,0.045349477,0.043977597,0.037973727,0.035772127,
CBAM_no_allowances,USA,traded low-carbon iron and steel_OECD,Middle East traded low-carbon iron and steel_OECD,Middle East traded low-carbon iron and steel_OECD,CBAM,,0.003566438,0.004269384,0.004253269,0.00421499,0.003721802,0.003590041,
