# File: A_InputTaxesSubsidies.csv,,,,,,,,,,,,,
# Title: Taxes/Subsidies for Specific Technologies,,,,,,,,,,,,,
# Units: 1975$/GJ or 1975$/kg,,,,,,,,,,,,,
# Comments: Positive for tax, negative for subsidy,,,,,,,,,,,,
# Column types: ccccccnnnnnnnn,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,minicam.non.energy.input,2020,2025,2030,2035,2040,2045,2050,2100
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,South America_Southern traded med-carbon iron and steel_OECD,South America_Southern traded med-carbon iron and steel_OECD,CBAM,,0.019445377,0.023033347,0.029228033,0.034165046,0.037723225,0.045172766,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,South Asia traded high-carbon iron and steel_OECD,South Asia traded high-carbon iron and steel_OECD,CBAM,,0.058739614,0.066526201,0.082345524,0.094396053,0.102117335,0.119553704,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,South Asia traded low-carbon iron and steel_OECD,South Asia traded low-carbon iron and steel_OECD,CBAM,,0.005262009,0.006221492,0.007859099,0.008992303,0.00976367,0.011552903,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,South Asia traded med-carbon iron and steel_OECD,South Asia traded med-carbon iron and steel_OECD,CBAM,,0.019291927,0.022769543,0.028630235,0.033217083,0.036454516,0.043415014,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Southeast Asia traded high-carbon iron and steel_OECD,Southeast Asia traded high-carbon iron and steel_OECD,CBAM,,0.058744585,0.067055533,0.081633325,0.091493397,0.09697422,0.111350086,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Southeast Asia traded low-carbon iron and steel_OECD,Southeast Asia traded low-carbon iron and steel_OECD,CBAM,,0.005272987,0.006212691,0.007807513,0.008904702,0.00955655,0.011098491,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Southeast Asia traded med-carbon iron and steel_OECD,Southeast Asia traded med-carbon iron and steel_OECD,CBAM,,0.019425704,0.023039734,0.029265962,0.034245021,0.037849889,0.04536551,
CBAM_allowances,USA,traded high-carbon iron and steel_OECD,Taiwan traded high-carbon iron and steel_OECD,Taiwan traded high-carbon iron and steel_OECD,CBAM,,0.058629285,0.069557645,0.088525882,0.102847695,0.112108243,0.131656102,
CBAM_allowances,USA,traded low-carbon iron and steel_OECD,Taiwan traded low-carbon iron and steel_OECD,Taiwan traded low-carbon iron and steel_OECD,CBAM,,0.005272766,0.006167959,0.007779282,0.008692642,0.009035698,0.01024162,
CBAM_allowances,USA,traded med-carbon iron and steel_OECD,Taiwan traded med-carbon iron and steel_OECD,Taiwan traded med-carbon iron and steel_OECD,CBAM,,0.019302774,0.022081376,0.028016109,0.032732937,0.036286408,0.043539839,
