# File: A_energy_constraints.csv,,,,,,,,,,,,,,,,,,,,,,
# Title: Policy floors/ceilings for tax/subsidy policies,,,,,,,,,,,,,,,,,,,,,,
# Comments: If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,,
# Units: EJ (fe-constraint),,,,,,,,,,,,,,,,,,,,,,
# Column types: ccccicnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,
xml,market,policy.portfolio.standard,policyType,GDPIntensity_BaseYear,tech_mapping,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_resfix_rus,Russia,wind-target,subsidy,,ELEC_WIND_ONSHORE,0.09486306,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907,0.090119907
policy_tpes_rus,Russia,energy-constraint,tax,2015,PRIMARY_ENERGY,,-15,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
policy_fe_korea,South Korea,fe-constraint,tax,,FE_NO_PV,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
policy_H2_korea,South Korea,H2-target,subsidy,,H2_ALL,,0.0789,0.1578,0.3156,0.6312,0.6312,0.6312,0.6312,0.6312,0.6312,0.6312,0.6312,0.6312,0.6312,0.6312,0.6312,0.6312
policy_RE_targets_kor,South Korea,PV-target,subsidy,,ELEC_PV,0.0326239912536443<,0.050938483,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974,0.069252974
policy_RE_targets_kor,South Korea,wind-target,subsidy,,ELEC_WIND_ONSHORE,,,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064,0.007064064
policy_RE_targets_kor,South Korea,biom-target,subsidy,,ELEC_BIO,,,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112,0.00536112
policy_RE_targets_kor,South Korea,offshore-target,subsidy,,ELEC_WIND_OFFSHORE,0.00336384,0.00672768,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152,0.01009152
policy_RE_targets_saf,South Africa,PV-target,subsidy,,ELEC_PV,,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
policy_RE_targets_saf,South Africa,wind-target,subsidy,,ELEC_WIND_ALL,,0.05,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
policy_coal_cap_saf,South Africa,coal-cap,tax,,ELEC_COAL_NO_CCS,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134,0.822134
ELEC_coal_constraint_EIR,USA,coal_ceiling_EIR,tax,,ELEC_COAL_NO_CCS,,1.918,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788
policy_RE_targets_usa,USA,offshore-target,subsidy,,ELEC_WIND_OFFSHORE,,,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
policy_RE_targets_usa,USA,biodiesel-target-OLD,subsidy,,BIODIESEL,0.25418326,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405,0.3405
policy_RE_targets_usa,USA,biofuel-target-OLD,subsidy,,BIOFUEL_ALL,1.23772801,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635,1.635
