# File: A_Policy_RES_SecOut.csv,,,,,,,,
# Title: Policy targets secondary outputs,,,,,,,,
# Units: NA,,,,,,,,
# Comments: For some RES policies with final energy (currently only for elec sectors) we want to calculate the losses between the energy transformation and the final energy use,,,,,,,,
# In this case leave output.ratio blank and insert a 1 into calculate_elec_losses,,,,,,,,
# Column types: cccccniii,,,,,,,,
# ----------,,,,,,,,
region,supplysector,subsector,stub.technology,res.secondary.output,output.ratio ,start.year,end.year,calculate_elec_losses
EU-12,electricity,wind,wind,FE_RES,,2020,2100,1
EU-12,electricity,wind,wind_offshore,FE_RES,,2020,2100,1
EU-12,electricity,wind,wind_storage,FE_RES,,2020,2100,1
EU-12,electricity,solar,PV,FE_RES,,2020,2100,1
EU-12,electricity,solar,PV_storage,FE_RES,,2020,2100,1
EU-12,elec_geothermal,geothermal,geothermal (recirculating),FE_RES,,2020,2100,1
EU-12,elec_geothermal,geothermal,geothermal (dry_hybrid),FE_RES,,2020,2100,1
EU-12,elec_CSP,CSP,CSP (recirculating),FE_RES,,2020,2100,1
EU-12,elec_CSP,CSP,CSP (dry_hybrid),FE_RES,,2020,2100,1
EU-12,elec_CSP_storage,CSP_storage,CSP_storage (recirculating),FE_RES,,2020,2100,1
EU-12,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid),FE_RES,,2020,2100,1
EU-12,elec_biomass (conv),biomass (conv),biomass (conv) (once through),FE_RES,,2020,2100,1
EU-12,elec_biomass (conv),biomass (conv),biomass (conv) (seawater),FE_RES,,2020,2100,1
EU-12,elec_biomass (conv),biomass (conv),biomass (conv) (recirculating),FE_RES,,2020,2100,1
EU-12,elec_biomass (conv),biomass (conv),biomass (conv) (cooling pond),FE_RES,,2020,2100,1
EU-12,elec_biomass (conv),biomass (conv),biomass (conv) (dry cooling),FE_RES,,2020,2100,1
EU-12,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (once through),FE_RES,,2020,2100,1
EU-12,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (seawater),FE_RES,,2020,2100,1
EU-12,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (recirculating),FE_RES,,2020,2100,1
EU-12,elec_biomass (IGCC),biomass (IGCC),biomass (IGCC) (dry cooling),FE_RES,,2020,2100,1
EU-12,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (once through),FE_RES,,2020,2100,1
EU-12,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (seawater),FE_RES,,2020,2100,1
EU-12,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (recirculating),FE_RES,,2020,2100,1
EU-12,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (dry cooling),FE_RES,,2020,2100,1
EU-12,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through),FE_RES,,2020,2100,1
EU-12,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (seawater),FE_RES,,2020,2100,1
EU-12,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (recirculating),FE_RES,,2020,2100,1
EU-12,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling),FE_RES,,2020,2100,1
EU-12,H2 central production,biomass,biomass to H2,FE_RES,1,2020,2100,
EU-12,H2 central production,biomass,biomass to H2 CCS,FE_RES,1,2020,2100,
EU-12,H2 central production,wind,electrolysis,FE_RES,1,2020,2100,
EU-12,H2 central production,solar,electrolysis,FE_RES,1,2020,2100,
EU-12,refining,biomass liquids,cellulosic ethanol,FE_RES,1,2020,2100,
EU-12,refining,biomass liquids,cellulosic ethanol CCS level 1,FE_RES,1,2020,2100,
EU-12,refining,biomass liquids,cellulosic ethanol CCS level 2,FE_RES,1,2020,2100,
EU-12,refining,biomass liquids,FT biofuels,FE_RES,1,2020,2100,
EU-12,refining,biomass liquids,FT biofuels CCS level 1,FE_RES,1,2020,2100,
EU-12,refining,biomass liquids,FT biofuels CCS level 2,FE_RES,1,2020,2100,
EU-12,refining,biomass liquids,corn ethanol,FE_RES,1,2020,2100,
EU-12,refining,biomass liquids,biodiesel,FE_RES,1,2020,2100,
EU-12,refining,biomass liquids,BTL with hydrogen,FE_RES,1,2020,2100,
EU-12,refining,biomass liquids,sugar cane ethanol,FE_RES,1,2020,2100,
EU-12,gas processing,biomass gasification,biomass gasification,FE_RES,1,2020,2100,
EU-15,electricity,hydro,hydro,FE_RES,,2020,2100,1
EU-15,electricity,wind,wind,FE_RES,,2020,2100,1
EU-15,electricity,wind,wind_offshore,FE_RES,,2020,2100,1
