# File: EURef2020_elec_params.csv
# Title: Technology cost assumptions by year from EU Reference Scenario 2020
# Units: 2015 Euros or specified
# Source: https://energy.ec.europa.eu/data-and-analysis/energy-modelling/eu-reference-scenario-2020_en
# Users can specify how technologies are mapped to GCAM technologies in energy/mappings/EURef2020_elec_gcam_mapping.csv.
# Column types: cccnnnn
# ----------
tech_type,variable,Units,2020,2030,2040,2050
Gas turbine combined cycle gas advanced,Self Consumption of electricity,%,0.02011994583091503,0.01920991605026186,0.01834104712603621,0.02011994583091503
Gas turbine combined cycle gas advanced,Technical lifetime,Years,30,30,30,30
Gas turbine with heat recovery,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,400,386,383,380
Gas turbine with heat recovery,"Fixed Operation and Maintenance costs, annually",EUR/kW,11.91393773702542,11.68297690915426,11.635095654774096,11.587410635868745
Gas turbine with heat recovery,Variable non fuel cost,EUR/kW,2.104239078350545,2.104239078350545,2.104239078350545,2.104239078350545
Gas turbine with heat recovery,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.35,0.37,0.385,0.397
Gas turbine with heat recovery,Self Consumption of electricity,%,0.01,0.01,0.01,0.01
Gas turbine with heat recovery,Technical lifetime,Years,25,25,25,25
Very small scale gas plant,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,350,350,350,350
Very small scale gas plant,"Fixed Operation and Maintenance costs, annually",EUR/kW,23.488853921675325,19.965525833424028,18.754345891767297,17.6166404412565
Very small scale gas plant,Variable non fuel cost,EUR/kW,0.7089551016664918,0.7089551016664918,0.7089551016664918,0.7089551016664918
Very small scale gas plant,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.3548387096774194
Very small scale gas plant,Self Consumption of electricity,%,0.006804044211016422,0.006804044211016422,0.006804044211016422,0.006804044211016422
Very small scale gas plant,Technical lifetime,Years,20,20,20,20
Pulverised lignite supercritical CCS post combustion,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3500,3340,3250,3150
Pulverised lignite supercritical CCS post combustion,"Fixed Operation and Maintenance costs, annually",EUR/kW,68.58000000000001,64.98,61.58000000000001,60.58000000000001
Pulverised lignite supercritical CCS post combustion,Variable non fuel cost,EUR/kW,5.301412501102462,5.1190670039507005,3.633857643722041,3.436280487804874
Pulverised lignite supercritical CCS post combustion,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.32000000000000006,0.32999999999999996,0.33999999999999997,0.35
Pulverised lignite supercritical CCS post combustion,Self Consumption of electricity,%,0.327429090230547,0.295758203418802,0.280626557497635,0.278163266301166
Pulverised lignite supercritical CCS post combustion,Technical lifetime,Years,40,40,40,40
Integrated gasification coal CCS pre combustion,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3450,3270,3175,3075
Integrated gasification coal CCS pre combustion,"Fixed Operation and Maintenance costs, annually",EUR/kW,69.8,65.85,63.875,61.925
Integrated gasification coal CCS pre combustion,Variable non fuel cost,EUR/kW,6.580234581711774,6.324178897902938,6.0930211255661915,5.8703125000000105
Integrated gasification coal CCS pre combustion,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.37,0.39,0.4,0.41000000000000003
Integrated gasification coal CCS pre combustion,Self Consumption of electricity,%,0.323176222481741,0.274848650886336,0.251758811124087,0.248
Integrated gasification coal CCS pre combustion,Technical lifetime,Years,40,40,40,40
Integrated gasification lignitel CCS pre combustion,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3600,3445,3360,3270
Integrated gasification lignitel CCS pre combustion,"Fixed Operation and Maintenance costs, annually",EUR/kW,77.575,73.575,71.6,69.625
Integrated gasification lignitel CCS pre combustion,Variable non fuel cost,EUR/kW,5.419265811779481,5.229010114151785,5.057485109785083,4.891586567498342
Integrated gasification lignitel CCS pre combustion,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.34089504401185583,0.3671937098325002,0.37876331766187044,0.39276926965474973
Integrated gasification lignitel CCS pre combustion,Self Consumption of electricity,%,0.346,0.2875,0.25955,0.255
Integrated gasification lignitel CCS pre combustion,Technical lifetime,Years,40,40,40,40
Pulverised coal supercritical CCS oxyfuel,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3400,3150,2890,2850
Pulverised coal supercritical CCS oxyfuel,"Fixed Operation and Maintenance costs, annually",EUR/kW,75.482805,64.666085,55.5034445,53.94
Pulverised coal supercritical CCS oxyfuel,Variable non fuel cost,EUR/kW,5.155117462189508,4.984771220889011,4.790911068245026,4.749554674796744
Pulverised coal supercritical CCS oxyfuel,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.36,0.3650000000000001,0.375,0.38
Pulverised coal supercritical CCS oxyfuel,Self Consumption of electricity,%,0.320755696151925,0.268841320054259,0.244037784807596,0.24
Pulverised coal supercritical CCS oxyfuel,Technical lifetime,Years,40,40,40,40
Pulverised lignite supercritical CCS oxyfuel,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3800,3550,3450,3350
Pulverised lignite supercritical CCS oxyfuel,"Fixed Operation and Maintenance costs, annually",EUR/kW,72.58000000000001,67.58000000000001,63.58000000000001,62.58000000000001
Pulverised lignite supercritical CCS oxyfuel,Variable non fuel cost,EUR/kW,5.902239251227408,5.699227931065113,4.045694843343872,3.825725609756092
Pulverised lignite supercritical CCS oxyfuel,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.32000000000000006,0.32999999999999996,0.33999999999999997,0.35
Pulverised lignite supercritical CCS oxyfuel,Self Consumption of electricity,%,0.341737442101005,0.279549086464645,0.24983687210505,0.245
Pulverised lignite supercritical CCS oxyfuel,Technical lifetime,Years,40,40,40,40
Gas combined cycle CCS post combustion,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1750,1625,1500,1500
Gas combined cycle CCS post combustion,"Fixed Operation and Maintenance costs, annually",EUR/kW,41,38.2,35,34.289830268741156
Gas combined cycle CCS post combustion,Variable non fuel cost,EUR/kW,3.0955426375155475,2.989459316608833,2.882632183071168,2.7796224744425735
Gas combined cycle CCS post combustion,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.42845243988153997,0.45899729959246827,0.47588584470433587,0.48605949062191506
Gas combined cycle CCS post combustion,Self Consumption of electricity,%,0.216,0.18,0.1628,0.16
Gas combined cycle CCS post combustion,Technical lifetime,Years,30,30,30,30
Gas combined cycle CCS oxyfuel,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2012.4999999999998,1820.0000000000002,1650.0000000000002,1627.5
Gas combined cycle CCS oxyfuel,"Fixed Operation and Maintenance costs, annually",EUR/kW,46.25,42.10000000000001,38,36.83983026874115
Gas combined cycle CCS oxyfuel,Variable non fuel cost,EUR/kW,3.4480066824383484,3.3361616996859067,3.202316101674779,3.0738403405359596
Gas combined cycle CCS oxyfuel,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.4011276669299111,0.45619853557056295,0.48526486577172895,0.49763233563672266
Gas combined cycle CCS oxyfuel,Self Consumption of electricity,%,0.266,0.185,0.1463,0.14
Gas combined cycle CCS oxyfuel,Technical lifetime,Years,30,30,30,30
Steam turbine biomass solid conventional,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2000,1800,1700,1700
Steam turbine biomass solid conventional,"Fixed Operation and Maintenance costs, annually",EUR/kW,47.4672897693768,40.07503499999999,39.21574606291291,38.374882
Steam turbine biomass solid conventional,Variable non fuel cost,EUR/kW,3.5615090425531912,3.5615090425531912,3.5615090425531912,3.5615090425531912
Steam turbine biomass solid conventional,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.34671060171919776,0.39,0.395,0.4
Steam turbine biomass solid conventional,Self Consumption of electricity,%,0.095,0.095,0.095,0.095
Steam turbine biomass solid conventional,Technical lifetime,Years,40,40,40,40
Steam turbine biomass solid conventional w_ CCS,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,4050,3675,3305,3205
Steam turbine biomass solid conventional w_ CCS,"Fixed Operation and Maintenance costs, annually",EUR/kW,81.46728976937679,69.075035,63.01574606291292,61.374882
Steam turbine biomass solid conventional w_ CCS,Variable non fuel cost,EUR/kW,5.994709958134008,5.914307012257762,5.822805566487087,5.803285465317417
Steam turbine biomass solid conventional w_ CCS,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.2667106017191978,0.31000000000000005,0.315,0.32
Steam turbine biomass solid conventional w_ CCS,Self Consumption of electricity,%,0.34255569615192494,0.2906413200542589,0.26583778480759596,0.2617999999999999
Steam turbine biomass solid conventional w_ CCS,Technical lifetime,Years,40,40,40,40
Biogas plant with heat recovery,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,500,465,457.5,450
Biogas plant with heat recovery,"Fixed Operation and Maintenance costs, annually",EUR/kW,28.830223768024577,24.3403875,23.81848088898487,23.307765000000003
Biogas plant with heat recovery,Variable non fuel cost,EUR/kW,2.5553281942273225,2.5553281942273225,2.5553281942273225,2.5553281942273225
Biogas plant with heat recovery,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.37560975609756103,0.38048780487804884,0.38536585365853665,0.3873170731707317
Biogas plant with heat recovery,Self Consumption of electricity,%,0.03,0.03,0.03,0.03
Biogas plant with heat recovery,Technical lifetime,Years,25,25,25,25
Small waste burning plant,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1650,1615,1607.5,1600
Small waste burning plant,"Fixed Operation and Maintenance costs, annually",EUR/kW,52.30576803139635,44.459902826686886,41.76280669403494,39.22932602354725
Small waste burning plant,Variable non fuel cost,EUR/kW,0.8152983669164655,0.8152983669164655,0.8152983669164655,0.8152983669164655
Small waste burning plant,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.33159104488859953,0.33589742209494494,0.34020379930129035,0.34192635018382855
Small waste burning plant,Self Consumption of electricity,%,0.007824650842668885,0.007824650842668885,0.007824650842668885,0.007824650842668885
Small waste burning plant,Technical lifetime,Years,20,20,20,20
Biomass gasification CC,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2650,2405,2352.5,2300
Biomass gasification CC,"Fixed Operation and Maintenance costs, annually",EUR/kW,27.100410341943103,22.87996425,22.389372035645774,21.9092991
Biomass gasification CC,Variable non fuel cost,EUR/kW,2.764618299843278,2.764618299843278,2.764618299843278,2.764618299843278
Biomass gasification CC,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.37414728682170545,0.42712389380530974,0.4727228207639569,0.48264999999999997
Biomass gasification CC,Self Consumption of electricity,%,0.09,0.09,0.09,0.09
Biomass gasification CC,Technical lifetime,Years,30,30,30,30
MBW incinerator CHP,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3750,3225,3112.5,3000
MBW incinerator CHP,"Fixed Operation and Maintenance costs, annually",EUR/kW,40.49756404211849,32.21397139713971,28.25625491120541,27.61197548326261
MBW incinerator CHP,Variable non fuel cost,EUR/kW,2.8397922926577936,2.6454777627627255,2.4644593237916186,2.8397922926577936
MBW incinerator CHP,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.30692829457364346,0.33717931404284185,0.3704118904264884,0.42233333333333334
MBW incinerator CHP,Self Consumption of electricity,%,0.095,0.095,0.095,0.095
MBW incinerator CHP,Technical lifetime,Years,35,35,35,35
Nuclear III gen_ (incl_ economies of scale),"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,4800,4500,4500,4500
Nuclear III gen_ (incl_ economies of scale),"Fixed Operation and Maintenance costs, annually",EUR/kW,120,115,108,105
Nuclear III gen_ (incl_ economies of scale),Variable non fuel cost,EUR/kW,6.4,7.4,7.6,7.8
Nuclear III gen_ (incl_ economies of scale),"Electrical Efficiency (net) 
in optimal load operation",ratio,0.37999999999999995,0.37999999999999995,0.37999999999999995,0.37999999999999995
Nuclear III gen_ (incl_ economies of scale),Self Consumption of electricity,%,0.053,0.053,0.053,0.053
Nuclear III gen_ (incl_ economies of scale),Technical lifetime,Years,60,60,60,60
Nuclear III gen_ (no economies of scale),"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,6000,6000,6000,6000
Nuclear III gen_ (no economies of scale),"Fixed Operation and Maintenance costs, annually",EUR/kW,120,115,108,105
Nuclear III gen_ (no economies of scale),Variable non fuel cost,EUR/kW,6.4,7.4,7.6,7.8
Nuclear III gen_ (no economies of scale),"Electrical Efficiency (net) 
in optimal load operation",ratio,0.37999999999999995,0.37999999999999995,0.37999999999999995,0.37999999999999995
Nuclear III gen_ (no economies of scale),Self Consumption of electricity,%,0.053,0.053,0.053,0.053
Nuclear III gen_ (no economies of scale),Technical lifetime,Years,60,60,60,60
Refurbishment of existing nuclear reactors,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1175,1175,1175,1175
Fuel cell gas (large scale),"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3500,3090.467743007158,2871.4908574423575,2668.0297061932297
