# File: EURef2020_elec_params.csv
# Title: Technology cost assumptions by year from EU Reference Scenario 2020
# Units: 2015 Euros or specified
# Source: https://energy.ec.europa.eu/data-and-analysis/energy-modelling/eu-reference-scenario-2020_en
# Users can specify how technologies are mapped to GCAM technologies in energy/mappings/EURef2020_elec_gcam_mapping.csv.
# Column types: cccnnnn
# ----------
tech_type,variable,Units,2020,2030,2040,2050
"Wind-offshore - deep waters, distant from shore, low resource area",Technical lifetime,Years,30,30,30,30
"Wind-offshore - deep waters, distant from shore, high resource area","Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2477.1396859997494,2349.264207856555,2282.0173207595585,2212.2565311091184
"Wind-offshore - deep waters, distant from shore, high resource area","Fixed Operation and Maintenance costs, annually",EUR/kW,55,43,40,39
"Wind-offshore - deep waters, distant from shore, high resource area",Variable non fuel cost,EUR/kW,0.393,0.393,0.393,0.393
"Wind-offshore - deep waters, distant from shore, high resource area","Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
"Wind-offshore - deep waters, distant from shore, high resource area",Technical lifetime,Years,30,30,30,30
Solar PV - residential - low resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,654.15,551.25,529.2,507.15000000000003
Solar PV - residential - low resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,18.99,14.918903999999998,11.128223105999998,8.990918900963997
Solar PV - residential - low resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - residential - low resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - residential - low resource area,Technical lifetime,Years,30,30,30,30
Solar PV - residential - medium resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,644.805,543.375,521.64,499.905
Solar PV - residential - medium resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,18.99,14.918903999999998,11.128223105999998,8.990918900963997
Solar PV - residential - medium resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - residential - medium resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - residential - medium resource area,Technical lifetime,Years,30,30,30,30
Solar PV - residential - high resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,635.46,535.5,514.08,492.66
Solar PV - residential - high resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,18.99,14.918903999999998,11.128223105999998,8.990918900963997
Solar PV - residential - high resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - residential - high resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - residential - high resource area,Technical lifetime,Years,30,30,30,30
Solar PV - residential - very high resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,623,525,504,483
Solar PV - residential - very high resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,18.99,14.918903999999998,11.128223105999998,8.990918900963997
Solar PV - residential - very high resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - residential - very high resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - residential - very high resource area,Technical lifetime,Years,30,30,30,30
Solar PV - commercial and industrial - low resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,536.55,469.8211875,455.52215625,441.22312500000004
Solar PV - commercial and industrial - low resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,16.9345,13.689675999999999,10.325820705199996,8.529788271254247
Solar PV - commercial and industrial - low resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - commercial and industrial - low resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - commercial and industrial - low resource area,Technical lifetime,Years,30,30,30,30
Solar PV - commercial and industrial - medium resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,528.885,463.10945625,449.01469687499997,434.9199375
Solar PV - commercial and industrial - medium resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,16.9345,13.689675999999999,10.325820705199996,8.529788271254247
Solar PV - commercial and industrial - medium resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - commercial and industrial - medium resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - commercial and industrial - medium resource area,Technical lifetime,Years,30,30,30,30
Solar PV - commercial and industrial - high resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,521.22,456.39772500000004,442.50723750000003,428.61675
Solar PV - commercial and industrial - high resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,16.9345,13.689675999999999,10.325820705199996,8.529788271254247
Solar PV - commercial and industrial - high resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - commercial and industrial - high resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - commercial and industrial - high resource area,Technical lifetime,Years,30,30,30,30
Solar PV - commercial and industrial - very high resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,510.99999999999994,447.44875,433.83062500000005,420.21250000000003
Solar PV - commercial and industrial - very high resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,16.9345,13.689675999999999,10.325820705199996,8.529788271254247
Solar PV - commercial and industrial - very high resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - commercial and industrial - very high resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - commercial and industrial - very high resource area,Technical lifetime,Years,30,30,30,30
Solar PV - utility-scale - low resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,478.48499999999996,400.25649999999996,383.49325,366.72999999999996
Solar PV - utility-scale - low resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,15.015,12.570558,9.532035512999999,8.206169352981597
Solar PV - utility-scale - low resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - utility-scale - low resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - utility-scale - low resource area,Technical lifetime,Years,30,30,30,30
Solar PV - utility-scale - medium resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,463.04999999999995,387.345,371.12250000000006,354.90000000000003
Solar PV - utility-scale - medium resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,15.015,12.570558,9.532035512999999,8.206169352981597
Solar PV - utility-scale - medium resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - utility-scale - medium resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - utility-scale - medium resource area,Technical lifetime,Years,30,30,30,30
Solar PV - utility-scale - high resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,454.22999999999996,379.967,364.0535,348.14
Solar PV - utility-scale - high resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,15.015,12.570558,9.532035512999999,8.206169352981597
Solar PV - utility-scale - high resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - utility-scale - high resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - utility-scale - high resource area,Technical lifetime,Years,30,30,30,30
Solar PV - utility-scale - very high resource area,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,441,368.9,353.45,338
Solar PV - utility-scale - very high resource area,"Fixed Operation and Maintenance costs, annually",EUR/kW,15.015,12.570558,9.532035512999999,8.206169352981597
Solar PV - utility-scale - very high resource area,Variable non fuel cost,EUR/kW,0,0,0,0
Solar PV - utility-scale - very high resource area,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar PV - utility-scale - very high resource area,Technical lifetime,Years,30,30,30,30
Solar thermal with 8 hours storage,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3150,2625,2512.5,2400
Solar thermal with 8 hours storage,"Fixed Operation and Maintenance costs, annually",EUR/kW,112.5,99.12326550292967,87.33708234634922,76.95232712594138
Solar thermal with 8 hours storage,Variable non fuel cost,EUR/kW,0.1,0.1,0.1,0.1
Solar thermal with 8 hours storage,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Solar thermal with 8 hours storage,Technical lifetime,Years,25,25,25,25
Tidal and waves,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,4270,2663.5,2319.25,1975
Tidal and waves,"Fixed Operation and Maintenance costs, annually",EUR/kW,39.63734087694484,33.31353135313532,28.006977840641213,23.536067892503535
Tidal and waves,Variable non fuel cost,EUR/kW,0.10404896421845573,0.10404896421845573,0.10404896421845573,0.10404896421845573
Tidal and waves,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Tidal and waves,Technical lifetime,Years,80,80,80,80
Lakes,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2100,2100,2100,2100
Lakes,"Fixed Operation and Maintenance costs, annually",EUR/kW,25.500000000000004,25.500000000000004,25.500000000000004,25.500000000000004
Lakes,Variable non fuel cost,EUR/kW,0.3216665577603118,0.3216665577603118,0.3216665577603118,0.3216665577603118
Lakes,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Lakes,Technical lifetime,Years,60,60,60,60
Run of river,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1715,1669.5,1659.75,1650
Run of river,"Fixed Operation and Maintenance costs, annually",EUR/kW,8.916689514449038,8.206539603960396,8.170387271328714,8.134394200848655
Run of river,Variable non fuel cost,EUR/kW,0,0,0,0
Run of river,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Run of river,Technical lifetime,Years,50,50,50,50
Geothermal high enthalpy,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3383,2661.09,2506.395,2351.7000000000003
Geothermal high enthalpy,"Fixed Operation and Maintenance costs, annually",EUR/kW,110,95,100,105
Geothermal high enthalpy,Variable non fuel cost,EUR/kW,0.13,0.13,0.13,0.13
Geothermal high enthalpy,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.1,0.1,0.1,0.1
Geothermal high enthalpy,Technical lifetime,Years,35,35,35,35
Geothermal medium enthalpy,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,3131,2952.08,2913.74,2875.4
Geothermal medium enthalpy,"Fixed Operation and Maintenance costs, annually",EUR/kW,95,95,92,92
Geothermal medium enthalpy,Variable non fuel cost,EUR/kW,0.11,0.11,0.11,0.11
Geothermal medium enthalpy,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.1,0.1,0.1,0.1
Geothermal medium enthalpy,Technical lifetime,Years,30,30,30,30
Boilers electricity,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,679,658.7,654.35,650
Boilers electricity,"Fixed Operation and Maintenance costs, annually",EUR/kW,10,10,10,10
Boilers electricity,Variable non fuel cost,EUR/kW,0.7,0.7,0.7,0.7
Boilers electricity,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
Boilers electricity,Technical lifetime,Years,25,25,25,25
District heating boilers gas,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,137.1455435597424,158.24485795354894,158.24485795354894,158.24485795354894
District heating boilers gas,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.2062814536326172,1.2062814536326172,1.2062814536326172,1.2062814536326172
District heating boilers gas,Variable non fuel cost,EUR/kW,0.442,0.442,0.442,0.442
District heating boilers gas,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.8856509438851183,0.96,0.96,0.96
District heating boilers gas,Technical lifetime,Years,25,25,25,25
District heating boilers fuel oil,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,228.57590593290402,263.7414299225816,263.7414299225816,263.7414299225816
District heating boilers fuel oil,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.272626933582411,1.272626933582411,1.272626933582411,1.272626933582411
District heating boilers fuel oil,Variable non fuel cost,EUR/kW,0.5304,0.5304,0.5304,0.5304
District heating boilers fuel oil,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.8561271151223773,0.9500000000000001,0.9500000000000001,0.9500000000000001
District heating boilers fuel oil,Technical lifetime,Years,25,25,25,25
District heating boilers biomass,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,791.1680374212698,912.8861970245421,912.8861970245421,912.8861970245421
District heating boilers biomass,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.3269095989958792,1.3269095989958792,1.3269095989958792,1.3269095989958792
District heating boilers biomass,Variable non fuel cost,EUR/kW,1.4144,1.4144,1.4144,1.4144
District heating boilers biomass,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.8165510347608769,0.8999999999999999,0.8999999999999999,0.8999999999999999
District heating boilers biomass,Technical lifetime,Years,25,25,25,25
District heating boilers coal,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,351.1127694411092,405.1301185858952,405.1301185858952,405.1301185858952
District heating boilers coal,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.3269095989958792,1.3269095989958792,1.3269095989958792,1.3269095989958792
District heating boilers coal,Variable non fuel cost,EUR/kW,1.4144,1.4144,1.4144,1.4144
District heating boilers coal,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.8165510347608769,0.8999999999999999,0.8999999999999999,0.8999999999999999
District heating boilers coal,Technical lifetime,Years,25,25,25,25
District heating boilers lignite,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,418.9413726285962,483.39389149453405,483.39389149453405,483.39389149453405
District heating boilers lignite,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.4173807080183254,1.4173807080183254,1.4173807080183254,1.4173807080183254
District heating boilers lignite,Variable non fuel cost,EUR/kW,1.5691,1.5691,1.5691,1.5691
District heating boilers lignite,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.7872254274854784,0.8999999999999999,0.8999999999999999,0.8999999999999999
District heating boilers lignite,Technical lifetime,Years,25,25,25,25
MBW incinerator district heating,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,961.0041300518208,948.2570045496591,935.6789617844876,923.2677589783602
MBW incinerator district heating,"Fixed Operation and Maintenance costs, annually",EUR/kW,16.594497579619034,16.157185782121307,15.731398383437888,15.316831683168314
MBW incinerator district heating,Variable non fuel cost,EUR/kW,1.4144,1.4144,1.4144,1.4144
MBW incinerator district heating,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.8165510347608769,0.8999999999999999,0.8999999999999999,0.8999999999999999
MBW incinerator district heating,Technical lifetime,Years,35,35,35,35
District heating electricity,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,850.0000000000001,850.0000000000001,850.0000000000001,850.0000000000001
District heating electricity,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.1,1.1,1.1,1.1
District heating electricity,Variable non fuel cost,EUR/kW,0.5,0.5,0.5,0.5
District heating electricity,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.99,0.99,0.99,0.99
District heating electricity,Technical lifetime,Years,20,20,20,20
District heating geothermal,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,1625,1537.5,1518.75,1500
District heating geothermal,"Fixed Operation and Maintenance costs, annually",EUR/kW,77.79231040564373,80.43548886138615,88.66126853972474,97.56233977192362
District heating geothermal,Variable non fuel cost,EUR/kW,1.1374174867456865,1.2223329194891848,1.353297160863026,1.4957494935854498
District heating geothermal,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.1,0.1,0.1,0.1
District heating geothermal,Technical lifetime,Years,25,25,25,25
District heating heat pump,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2113,2033.9,2016.95,2000
District heating heat pump,"Fixed Operation and Maintenance costs, annually",EUR/kW,5,3.7,3.7,3.7
District heating heat pump,Variable non fuel cost,EUR/kW,0,0,0,0
District heating heat pump,"Electrical Efficiency (net) 
in optimal load operation",ratio,2.5,3.3333333333333335,3.3333333333333335,3.3333333333333335
District heating heat pump,Technical lifetime,Years,20,20,20,20
District heating solar,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,700,650,600,500
District heating solar,"Fixed Operation and Maintenance costs, annually",EUR/kW,10,10,10,10
District heating solar,Variable non fuel cost,EUR/kW,0.7,0.7,0.7,0.7
District heating solar,"Electrical Efficiency (net) 
in optimal load operation",ratio,1,1,1,1
District heating solar,Technical lifetime,Years,25,25,25,25
Industrial boilers coal,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,340.30929961215196,372.7197090990236,372.7197090990236,372.7197090990236
Industrial boilers coal,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.3269095989958792,1.3269095989958792,1.3269095989958792,1.3269095989958792
Industrial boilers coal,Variable non fuel cost,EUR/kW,1.4144,1.4144,1.4144,1.4144
Industrial boilers coal,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.8246838420626502,0.92,0.92,0.92
Industrial boilers coal,Technical lifetime,Years,25,25,25,25
Industrial boilers lignite,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,406.05086885540857,444.72238017497125,444.72238017497125,444.72238017497125
Industrial boilers lignite,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.4173807080183254,1.4173807080183254,1.4173807080183254,1.4173807080183254
Industrial boilers lignite,Variable non fuel cost,EUR/kW,1.5691,1.5691,1.5691,1.5691
Industrial boilers lignite,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.7947818585038162,0.92,0.92,0.92
Industrial boilers lignite,Technical lifetime,Years,25,25,25,25
Industrial boilers gas,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,113.55184290874408,124.36630413814827,124.36630413814827,124.36630413814827
Industrial boilers gas,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.2062814536326172,1.2062814536326172,1.2062814536326172,1.2062814536326172
Industrial boilers gas,Variable non fuel cost,EUR/kW,0.442,0.442,0.442,0.442
Industrial boilers gas,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.8940675228123697,0.98,0.98,0.98
Industrial boilers gas,Technical lifetime,Years,25,25,25,25
Industrial boilers fuel oil,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,221.54280113496853,242.64211552877504,242.64211552877504,242.64211552877504
Industrial boilers fuel oil,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.272626933582411,1.272626933582411,1.272626933582411,1.272626933582411
Industrial boilers fuel oil,Variable non fuel cost,EUR/kW,0.5304,0.5304,0.5304,0.5304
Industrial boilers fuel oil,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.8601644512527603,0.96,0.96,0.96
Industrial boilers fuel oil,Technical lifetime,Years,20,20,20,20
Industrial boilers biomass,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,736.8071926315503,806.9793062155074,806.9793062155074,806.9793062155074
Industrial boilers biomass,"Fixed Operation and Maintenance costs, annually",EUR/kW,1.3269095989958792,1.3269095989958792,1.3269095989958792,1.3269095989958792
Industrial boilers biomass,Variable non fuel cost,EUR/kW,1.4144,1.4144,1.4144,1.4144
Industrial boilers biomass,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.8165510347608769,0.8999999999999999,0.8999999999999999,0.8999999999999999
Industrial boilers biomass,Technical lifetime,Years,25,25,25,25
Biomass fired organic rankine cycle,"Overnight Investment Costs in a greenfield site, 
excluding financial costs during construction time",EUR/kW,2700,2430,2295,2295
Biomass fired organic rankine cycle,"Fixed Operation and Maintenance costs, annually",EUR/kW,64.08084118865868,54.101297249999995,52.94125718493244,51.806090700000006
Biomass fired organic rankine cycle,Variable non fuel cost,EUR/kW,4.808037207446809,4.808037207446809,4.808037207446809,4.808037207446809
Biomass fired organic rankine cycle,"Electrical Efficiency (net) 
in optimal load operation",ratio,0.13,0.14,0.145,0.15
Biomass fired organic rankine cycle,Self Consumption of electricity,%,0.095,0.095,0.095,0.095
Biomass fired organic rankine cycle,Technical lifetime,Years,20,20,20,20
