# File: A3231.globaltech_retirement.csv,,,,,,,,,
# Title: IRONSTL technology lifetimes and shutdown rates,,,,,,,,,
# Units: Years for lifetime and half.life; Unitless for shutdown.rate; steepness; median.shutdown.point; profit.shutdown.steepness,,,,,,,,,
# Comments: maximum lifetime of cohort. If no retirement function is used; the entire cohort is retired in this number of years,,,,,,,,,
#           shutdown.rate: portion of cohort retired each year; used by the phased-shutdown-decider retirement function.,,,,,,,,,
#           half.life: number of years at which 50% of the cohort is retired; using the s-curve-shutdown-decider retirement function.,,,,,,,,,
#           steepness: shape parameter used by the s-curve-shutdown-decider retirement function.,,,,,,,,,
#           median.shutdown.point: profit-ratio at which 50% of the cohort is shut down for lack of profitability.,,,,,,,,,
#           profit.shutdown.steepness: shape parameter of profit-shutdown-decider function.,,,,,,,,,
# Column types: ccccicnnni,,,,,,,,,
# ----------,,,,,,,,,
supplysector,subsector,technology,year,lifetime,shutdown.rate,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
BF_coal,BF_coal,BF_coal,final-calibration-year,50,,25,0.3,-0.5,6
BF_CCS_73%,BF_CCS_73%,BF_CCS_73%,final-calibration-year,50,,25,0.3,-0.5,6
BF_CCS_86%,BF_CCS_86%,BF_CCS_86%,final-calibration-year,50,,25,0.3,-0.5,6
BF_BECCSmin,BF_BECCSmin,BF_BECCSmin,final-calibration-year,50,,25,0.3,-0.5,6
BF_BECCSmax,BF_BECCSmax,BF_BECCSmax,final-calibration-year,50,,25,0.3,-0.5,6
SmeltRed,SmeltRed,SmeltRed,final-calibration-year,50,,25,0.3,-0.5,6
SmeltRed_CCS,SmeltRed_CCS,SmeltRed_CCS,final-calibration-year,50,,25,0.3,-0.5,6
DRI_SAF_NG,DRI_SAF_NG,DRI_SAF_NG,final-calibration-year,50,,25,0.3,-0.5,6
DRI_SAF_H2,DRI_SAF_H2,DRI_SAF_H2,final-calibration-year,50,,25,0.3,-0.5,6
DRI_SAF_BECCS,DRI_SAF_BECCS,DRI_SAF_BECCS,final-calibration-year,50,,25,0.3,-0.5,6
DRI_NG,DRI_NG,DRI_NG,final-calibration-year,50,,25,0.3,-0.5,6
DRI_NG_CCS,DRI_NG_CCS,DRI_NG_CCS,final-calibration-year,50,,25,0.3,-0.5,6
DRI_coal,DRI_coal,DRI_coal,final-calibration-year,50,,25,0.3,-0.5,6
DRI_coal_CCS,DRI_coal_CCS,DRI_coal_CCS,final-calibration-year,50,,25,0.3,-0.5,6
DRI_BECCS,DRI_BECCS,DRI_BECCS,final-calibration-year,50,,25,0.3,-0.5,6
DRI_H2,DRI_H2,DRI_H2,final-calibration-year,50,,25,0.3,-0.5,6
AEL,AEL,AEL,final-calibration-year,50,,25,0.3,-0.5,6
scrap_fossil_NG_finish,scrap_fossil_NG_finish,scrap_fossil_NG_finish,final-calibration-year,50,,25,0.3,-0.5,6
scrap_bio_NG_finish,scrap_bio_NG_finish,scrap_bio_NG_finish,final-calibration-year,50,,25,0.3,-0.5,6
scrap_fossil_elec_finish,scrap_fossil_elec_finish,scrap_fossil_elec_finish,final-calibration-year,50,,25,0.3,-0.5,6
scrap_bio_elec_finish,scrap_bio_elec_finish,scrap_bio_elec_finish,final-calibration-year,50,,25,0.3,-0.5,6
MOE_iron,MOE_iron,MOE_iron,final-calibration-year,50,,25,0.3,-0.5,6
BF_coal,BF_coal,BF_coal,initial-future-year,50,,25,0.3,-0.5,6
BF_CCS_73%,BF_CCS_73%,BF_CCS_73%,initial-future-year,50,,25,0.3,-0.5,6
BF_CCS_86%,BF_CCS_86%,BF_CCS_86%,initial-future-year,50,,25,0.3,-0.5,6
BF_BECCSmin,BF_BECCSmin,BF_BECCSmin,initial-future-year,50,,25,0.3,-0.5,6
BF_BECCSmax,BF_BECCSmax,BF_BECCSmax,initial-future-year,50,,25,0.3,-0.5,6
SmeltRed,SmeltRed,SmeltRed,initial-future-year,50,,25,0.3,-0.5,6
SmeltRed_CCS,SmeltRed_CCS,SmeltRed_CCS,initial-future-year,50,,25,0.3,-0.5,6
DRI_SAF_NG,DRI_SAF_NG,DRI_SAF_NG,initial-future-year,50,,25,0.3,-0.5,6
DRI_SAF_H2,DRI_SAF_H2,DRI_SAF_H2,initial-future-year,50,,25,0.3,-0.5,6
DRI_SAF_BECCS,DRI_SAF_BECCS,DRI_SAF_BECCS,initial-future-year,50,,25,0.3,-0.5,6
DRI_NG,DRI_NG,DRI_NG,initial-future-year,50,,25,0.3,-0.5,6
DRI_NG_CCS,DRI_NG_CCS,DRI_NG_CCS,initial-future-year,50,,25,0.3,-0.5,6
DRI_coal,DRI_coal,DRI_coal,initial-future-year,50,,25,0.3,-0.5,6
DRI_coal_CCS,DRI_coal_CCS,DRI_coal_CCS,initial-future-year,50,,25,0.3,-0.5,6
DRI_BECCS,DRI_BECCS,DRI_BECCS,initial-future-year,50,,25,0.3,-0.5,6
DRI_H2,DRI_H2,DRI_H2,initial-future-year,50,,25,0.3,-0.5,6
AEL,AEL,AEL,initial-future-year,50,,25,0.3,-0.5,6
scrap_fossil_NG_finish,scrap_fossil_NG_finish,scrap_fossil_NG_finish,initial-future-year,50,,25,0.3,-0.5,6
scrap_bio_NG_finish,scrap_bio_NG_finish,scrap_bio_NG_finish,initial-future-year,50,,25,0.3,-0.5,6
scrap_fossil_elec_finish,scrap_fossil_elec_finish,scrap_fossil_elec_finish,initial-future-year,50,,25,0.3,-0.5,6
scrap_bio_elec_finish,scrap_bio_elec_finish,scrap_bio_elec_finish,initial-future-year,50,,25,0.3,-0.5,6
MOE_iron,MOE_iron,MOE_iron,initial-future-year,50,,25,0.3,-0.5,6
