# File: A323.globaltech_coef.csv,,,,,,,
# Title: IRONSTL production default coefficients,,,,,,,
# Units: scrap input is unitless (Mt scrap per Mt IRONSTL); all others are GJ per kg (EJ of energy per Mt of IRONSTL),,,,,,,
# Comments: charcoal_prop is the proportion of bioenergy that comes from charcoal,,,,,,,
# Column types: ccccnnnn,,,,,,,
# ----------,,,,,,,
supplysector,subsector,technology,minicam.energy.input,charcoal_prop,1971,2010,2100
DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,elect_td_ind,,0.006054223,0.006054223,0.006054223
DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,DRI_SAF_BOF_BECCS,delivered biomass industry,0.03770,0.01623,0.01623,0.01623
AEL_EAF,AEL_EAF,AEL_EAF,elect_td_ind,,0.01677,0.01677,0.01677
AEL_EAF,AEL_EAF,AEL_EAF,delivered biomass industry,1,4.07E-04,4.07E-04,4.07E-04
MOE,MOE,MOE,elect_td_ind,,0.01828,0.01828,0.01828
EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,elect_td_ind,,0.002705709,0.002705709,0.002705709
EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,wholesale gas,,0.00235,0.00235,0.00235
EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,delivered coal industry,,4.10E-04,4.10E-04,4.10E-04
EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,EAF_scrap_fossil_NG_finish,scrap,,1.1,1.1,1.1
EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,elect_td_ind,,0.003147239,0.003147239,0.003147239
EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,wholesale gas,,0.00191,0.00191,0.00191
EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,delivered biomass industry,1,4.10E-04,4.10E-04,4.10E-04
EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,EAF_scrap_bio_NG_finish,scrap,,1.1,1.1,1.1
EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,elect_td_ind,,0.00449,0.00449,0.00449
EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,wholesale gas,,4.40E-04,4.40E-04,4.40E-04
EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,delivered coal industry,,4.10E-04,4.10E-04,4.10E-04
EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,EAF_scrap_fossil_elec_finish,scrap,,1.1,1.1,1.1
EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,elect_td_ind,,0.00493,0.00493,0.00493
EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,delivered biomass industry,1,4.10E-04,4.10E-04,4.10E-04
EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,EAF_scrap_bio_elec_finish,scrap,,1.1,1.1,1.1
