# File: A_irnstl_TradedSubsectorShwtCBAM.csv
# Title: Iron and steel subsector shareweights from 2015
# Units: Unitless
# Comments: For copying to new CBAM markets
# Column types: ccn 
# ----------
supplysector,subsector,shareweight
traded med-carbon iron and steel,South Asia traded med-carbon iron and steel,1.51E-05
traded high-carbon iron and steel,South Korea traded high-carbon iron and steel,0.434666
traded low-carbon iron and steel,South Korea traded low-carbon iron and steel,0.255597
traded med-carbon iron and steel,South Korea traded med-carbon iron and steel,0.0208308
traded high-carbon iron and steel,Southeast Asia traded high-carbon iron and steel,0.0322484
traded low-carbon iron and steel,Southeast Asia traded low-carbon iron and steel,0.126607
traded med-carbon iron and steel,Southeast Asia traded med-carbon iron and steel,0.03627
traded high-carbon iron and steel,Taiwan traded high-carbon iron and steel,0.149042
traded low-carbon iron and steel,Taiwan traded low-carbon iron and steel,0.106136
traded med-carbon iron and steel,Taiwan traded med-carbon iron and steel,0.0076458
traded high-carbon iron and steel,USA traded high-carbon iron and steel,0.273358
traded low-carbon iron and steel,USA traded low-carbon iron and steel,0.419537
traded med-carbon iron and steel,USA traded med-carbon iron and steel,1.47697
