# File: A_irnstl_TradedSubsector.csv,,,,,,,,,,,
# Title: Subsector assumptions for traded iron and steel markets,,,,,,,,,,,
# Units: Various,,,,,,,,,,,
# Comments: These subsectors' shareweights evolve over time. They are calibrated to 2015 shares, but become 1 in some to.year following an interpolation.function,,,,,,,,,,
# Source: NA,,,,,,,,,,,
# Column types: ccncncccncic,,,,,,,,,,,
# ----------,,,,,,,,,,,
supplysector,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,to.value,interpolation.function,traded,logit.type
traded low-carbon iron and steel,traded low-carbon iron and steel,-6,start-year,1,share-weight,final-calibration-year,2100,1,fixed,1,
traded med-carbon iron and steel,traded med-carbon iron and steel,-6,start-year,1,share-weight,final-calibration-year,2100,1,fixed,1,
traded high-carbon iron and steel,traded high-carbon iron and steel,-6,start-year,1,share-weight,final-calibration-year,2100,1,fixed,1,
traded low-carbon iron and steel_CLUB,traded low-carbon iron and steel_CLUB,-6,start-year,1,share-weight,final-calibration-year,2100,1,fixed,1,
traded med-carbon iron and steel_CLUB,traded med-carbon iron and steel_CLUB,-6,start-year,1,share-weight,final-calibration-year,2100,1,fixed,1,
traded high-carbon iron and steel_CLUB,traded high-carbon iron and steel_CLUB,-6,start-year,1,share-weight,final-calibration-year,2100,1,fixed,1,
